,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,999600.0
2021-02-01,998547.1477700582
2021-02-02,997304.6235186473
2021-02-03,995173.2259530082
2021-02-04,993453.5039544915
2021-02-05,993090.4368687567
2021-02-08,994703.2419994074
2021-02-09,1002984.1555568322
2021-02-10,993674.1682431437
2021-02-11,994986.8069031753
2021-02-12,993285.9679393023
2021-02-15,988716.6948707787
2021-02-16,985219.1743075827
2021-02-17,991516.0744502622
2021-02-18,988152.0218369972
2021-02-19,990311.7257479697
2021-02-22,992115.9648926895
2021-02-23,990203.2923035782
2021-02-24,993372.1438962956
2021-02-25,994120.0174027502
2021-02-26,997194.9849063107
2021-03-01,999840.2799207923
2021-03-02,1000720.6520468403
2021-03-03,997010.7575323705
2021-03-04,997929.973095225
2021-03-05,991074.8155307734
2021-03-08,994437.7759988867
2021-03-09,993309.2545524237
2021-03-10,992199.6825634884
2021-03-11,992217.4554775304
2021-03-12,989316.8018805619
2021-03-15,990703.9601889673
2021-03-16,992587.2886868244
2021-03-17,990383.0498597155
2021-03-18,990907.5011363471
2021-03-19,994261.4164647331
2021-03-22,997820.04290744
2021-03-23,995090.4219297022
2021-03-24,993275.8200861298
2021-03-25,991788.7484264296
2021-03-26,995384.7274077474
2021-03-29,995651.7505475736
2021-03-30,990367.3689210279
2021-03-31,998945.3348500126
2021-04-01,996310.0951339962
2021-04-02,997341.7068060444
2021-04-05,996613.0929477516
2021-04-06,993258.6365023758
2021-04-07,995210.0697008448
2021-04-08,992208.5504808486
2021-04-09,995601.7106283361
2021-04-12,990656.5036740768
2021-04-13,996023.0281875699
2021-04-14,994573.4468926027
2021-04-15,997053.0762868872
2021-04-16,992686.8083163075
2021-04-19,992042.1661897895
2021-04-20,990904.4570038379
2021-04-21,989180.0799077614
2021-04-22,996923.1313586206
2021-04-23,995437.518740116
2021-04-26,998607.354554174
2021-04-27,996259.0652634407
2021-04-28,988169.0372974572
2021-04-29,992866.1175120333
2021-04-30,991037.3762791313
2021-05-03,997674.7741116638
2021-05-04,991176.3515973898
2021-05-05,985768.2665149058
2021-05-06,990298.5448796942
2021-05-07,1003825.6160665835
2021-05-10,1012641.092605089
2021-05-11,1008817.0620222695
2021-05-12,1009452.3044943622
2021-05-13,1002980.9039171566
2021-05-14,1002580.641332312
2021-05-17,1000865.7393617146
2021-05-18,1003880.5997645808
2021-05-19,1003235.1858601205
2021-05-20,1008471.1623926848
2021-05-21,1006647.9362070154
2021-05-24,1008723.5689601045
2021-05-25,1005213.4015153331
2021-05-26,1011034.8185125405
2021-05-27,1013874.0329531275
2021-05-28,1017953.8866941325
2021-05-31,1023027.1042440166
2021-06-01,1019487.8053707968
2021-06-02,1021331.5251920193
2021-06-03,1020220.5439620225
2021-06-04,1020111.1687522393
2021-06-07,1030174.6157962981
2021-06-08,1023909.8967046193
2021-06-09,1037031.0961543284
2021-06-10,1033998.3313014448
2021-06-11,1030012.0267978465
2021-06-14,1036559.809891038
2021-06-15,1032969.9920081658
2021-06-16,1032290.383115925
2021-06-17,1032128.3231477841
2021-06-18,1025025.1959311267
2021-06-21,1023718.3508350572
2021-06-22,1023445.9130915062
2021-06-23,1034604.4442038098
