ticker,name,weight,as_of_date
000001.SZ,平安银行,0.442,2026-03-31
000002.SZ,万科A,0.112,2026-03-31
000063.SZ,中兴通讯,0.43,2026-03-31
000100.SZ,TCL科技,0.366,2026-03-31
000157.SZ,中联重科,0.176,2026-03-31
000166.SZ,申万宏源,0.174,2026-03-31
000301.SZ,东方盛虹,0.116,2026-03-31
000333.SZ,美的集团,1.547,2026-03-31
000338.SZ,潍柴动力,0.54,2026-03-31
000408.SZ,藏格矿业,0.256,2026-03-31
000425.SZ,徐工机械,0.39,2026-03-31
000538.SZ,云南白药,0.201,2026-03-31
000568.SZ,泸州老窖,0.317,2026-03-31
000596.SZ,古井贡酒,0.069,2026-03-31
000617.SZ,中油资本,0.106,2026-03-31
000625.SZ,长安汽车,0.204,2026-03-31
000630.SZ,铜陵有色,0.192,2026-03-31
000651.SZ,格力电器,0.698,2026-03-31
000661.SZ,长春高新,0.115,2026-03-31
000708.SZ,中信特钢,0.068,2026-03-31
000725.SZ,京东方A,0.591,2026-03-31
000768.SZ,中航西飞,0.141,2026-03-31
000776.SZ,广发证券,0.218,2026-03-31
000786.SZ,北新建材,0.11,2026-03-31
000792.SZ,盐湖股份,0.484,2026-03-31
000807.SZ,云铝股份,0.265,2026-03-31
000858.SZ,五 粮 液,0.825,2026-03-31
000876.SZ,新 希 望,0.076,2026-03-31
000895.SZ,双汇发展,0.121,2026-03-31
000938.SZ,紫光股份,0.205,2026-03-31
000963.SZ,华东医药,0.127,2026-03-31
000975.SZ,山金国际,0.204,2026-03-31
000977.SZ,浪潮信息,0.237,2026-03-31
000983.SZ,山西焦煤,0.078,2026-03-31
000999.SZ,华润三九,0.077,2026-03-31
001391.SZ,国货航,0.021,2026-03-31
001965.SZ,招商公路,0.083,2026-03-31
001979.SZ,招商蛇口,0.125,2026-03-31
002001.SZ,新和成,0.219,2026-03-31
002027.SZ,分众传媒,0.273,2026-03-31
002028.SZ,思源电气,0.518,2026-03-31
002049.SZ,紫光国微,0.185,2026-03-31
002050.SZ,三花智控,0.392,2026-03-31
002074.SZ,国轩高科,0.159,2026-03-31
002142.SZ,宁波银行,0.414,2026-03-31
002179.SZ,中航光电,0.177,2026-03-31
002230.SZ,科大讯飞,0.44,2026-03-31
002236.SZ,大华股份,0.137,2026-03-31
002241.SZ,歌尔股份,0.228,2026-03-31
002252.SZ,上海莱士,0.127,2026-03-31
002304.SZ,洋河股份,0.126,2026-03-31
002311.SZ,海大集团,0.171,2026-03-31
002352.SZ,顺丰控股,0.376,2026-03-31
002371.SZ,北方华创,0.797,2026-03-31
002384.SZ,东山精密,0.545,2026-03-31
002415.SZ,海康威视,0.459,2026-03-31
002422.SZ,科伦药业,0.16,2026-03-31
002459.SZ,晶澳科技,0.089,2026-03-31
002460.SZ,赣锋锂业,0.364,2026-03-31
002463.SZ,沪电股份,0.421,2026-03-31
002466.SZ,天齐锂业,0.236,2026-03-31
002475.SZ,立讯精密,1.033,2026-03-31
002493.SZ,荣盛石化,0.148,2026-03-31
002594.SZ,比亚迪,1.177,2026-03-31
002600.SZ,领益智造,0.193,2026-03-31
002601.SZ,龙佰集团,0.12,2026-03-31
002625.SZ,光启技术,0.238,2026-03-31
002648.SZ,卫星化学,0.191,2026-03-31
002709.SZ,天赐材料,0.27,2026-03-31
002714.SZ,牧原股份,0.469,2026-03-31
002736.SZ,国信证券,0.142,2026-03-31
002916.SZ,深南电路,0.241,2026-03-31
002920.SZ,德赛西威,0.128,2026-03-31
002938.SZ,鹏鼎控股,0.149,2026-03-31
003816.SZ,中国广核,0.149,2026-03-31
300014.SZ,亿纬锂能,0.319,2026-03-31
300015.SZ,爱尔眼科,0.183,2026-03-31
300033.SZ,同花顺,0.264,2026-03-31
300059.SZ,东方财富,0.983,2026-03-31
300122.SZ,智飞生物,0.074,2026-03-31
300124.SZ,汇川技术,0.521,2026-03-31
300251.SZ,光线传媒,0.093,2026-03-31
300274.SZ,阳光电源,0.901,2026-03-31
300308.SZ,中际旭创,2.604,2026-03-31
300316.SZ,晶盛机电,0.111,2026-03-31
300347.SZ,泰格医药,0.114,2026-03-31
300394.SZ,天孚通信,0.579,2026-03-31
300408.SZ,三环集团,0.292,2026-03-31
300413.SZ,芒果超媒,0.063,2026-03-31
300418.SZ,昆仑万维,0.177,2026-03-31
300433.SZ,蓝思科技,0.23,2026-03-31
300442.SZ,润泽科技,0.272,2026-03-31
300476.SZ,胜宏科技,0.629,2026-03-31
300498.SZ,温氏股份,0.364,2026-03-31
300502.SZ,新易盛,1.812,2026-03-31
300628.SZ,亿联网络,0.068,2026-03-31
300661.SZ,圣邦股份,0.12,2026-03-31
300750.SZ,宁德时代,4.372,2026-03-31
300759.SZ,康龙化成,0.119,2026-03-31
300760.SZ,迈瑞医疗,0.411,2026-03-31
300782.SZ,卓胜微,0.123,2026-03-31
300803.SZ,指南针,0.144,2026-03-31
300832.SZ,新产业,0.079,2026-03-31
300866.SZ,安克创新,0.095,2026-03-31
300896.SZ,爱美客,0.073,2026-03-31
300979.SZ,华利集团,0.031,2026-03-31
300999.SZ,金龙鱼,0.07,2026-03-31
301236.SZ,软通动力,0.094,2026-03-31
301269.SZ,华大九天,0.073,2026-03-31
302132.SZ,中航成飞,0.081,2026-03-31
600000.SH,浦发银行,0.558,2026-03-31
600009.SH,上海机场,0.141,2026-03-31
600010.SH,包钢股份,0.234,2026-03-31
600011.SH,华能国际,0.127,2026-03-31
600015.SH,华夏银行,0.192,2026-03-31
600016.SH,民生银行,0.387,2026-03-31
600018.SH,上港集团,0.059,2026-03-31
600019.SH,宝钢股份,0.23,2026-03-31
600023.SH,浙能电力,0.09,2026-03-31
600025.SH,华能水电,0.076,2026-03-31
600026.SH,中远海能,0.151,2026-03-31
600027.SH,华电国际,0.077,2026-03-31
600028.SH,中国石化,0.353,2026-03-31
600029.SH,南方航空,0.125,2026-03-31
600030.SH,中信证券,0.966,2026-03-31
600031.SH,三一重工,0.469,2026-03-31
600036.SH,招商银行,2.003,2026-03-31
600039.SH,四川路桥,0.108,2026-03-31
600048.SH,保利发展,0.172,2026-03-31
600050.SH,中国联通,0.286,2026-03-31
600061.SH,国投资本,0.073,2026-03-31
600066.SH,宇通客车,0.196,2026-03-31
600085.SH,同仁堂,0.078,2026-03-31
600089.SH,特变电工,0.551,2026-03-31
600104.SH,上汽集团,0.276,2026-03-31
600111.SH,北方稀土,0.497,2026-03-31
600115.SH,中国东航,0.149,2026-03-31
600150.SH,中国船舶,0.573,2026-03-31
600160.SH,巨化股份,0.19,2026-03-31
600161.SH,天坛生物,0.061,2026-03-31
600176.SH,中国巨石,0.24,2026-03-31
