date,open,high,low,close,volume,amount,pct_change,turnover,ticker,adj_factor,is_suspended,is_limit_up,is_limit_down
2024-01-02,7.83,7.86,7.65,7.65,1158366,1075742252.45,-2.3,0.6,000001.SZ,1.0,False,False,False
2024-01-03,7.63,7.66,7.59,7.64,733610,673673613.54,-0.13,0.38,000001.SZ,1.0,False,False,False
2024-01-04,7.63,7.63,7.52,7.55,864194,787470082.37,-1.18,0.45,000001.SZ,1.0,False,False,False
2024-01-05,7.54,7.88,7.51,7.71,1991622,1852659692.14,2.12,1.03,000001.SZ,1.0,False,False,False
2024-01-08,7.67,7.74,7.55,7.59,1121156,1029006548.73,-1.56,0.58,000001.SZ,1.0,False,False,False
2024-01-09,7.6,7.63,7.53,7.62,766194,700375720.2,0.4,0.39,000001.SZ,1.0,False,False,False
2024-01-10,7.6,7.63,7.53,7.53,858621,783771150.01,-1.18,0.44,000001.SZ,1.0,False,False,False
2024-01-11,7.52,7.66,7.47,7.61,934686,853890237.29,1.06,0.48,000001.SZ,1.0,False,False,False
2024-01-12,7.57,7.71,7.55,7.63,772582,711018266.07,0.26,0.4,000001.SZ,1.0,False,False,False
2024-01-15,7.6,7.73,7.57,7.65,745133,685950951.45,0.26,0.38,000001.SZ,1.0,False,False,False
2024-01-16,7.63,7.79,7.6,7.78,1438313,1334465408.53,1.7,0.74,000001.SZ,1.0,False,False,False
2024-01-17,7.77,7.83,7.67,7.67,1482296,1380725065.03,-1.41,0.76,000001.SZ,1.0,False,False,False
2024-01-18,7.65,7.68,7.44,7.64,1755132,1597853726.63,-0.39,0.9,000001.SZ,1.0,False,False,False
2024-01-19,7.6,7.64,7.54,7.61,963981,881865023.89,-0.39,0.5,000001.SZ,1.0,False,False,False
2024-01-22,7.6,7.7,7.48,7.54,1580320,1449858241.68,-0.92,0.81,000001.SZ,1.0,False,False,False
2024-01-23,7.49,7.62,7.4,7.6,1135545,1030898421.04,0.8,0.59,000001.SZ,1.0,False,False,False
2024-01-24,7.67,7.78,7.51,7.77,1759123,1620099272.06,2.24,0.91,000001.SZ,1.0,False,False,False
2024-01-25,7.77,7.98,7.71,7.94,2162514,2037648413.07,2.19,1.11,000001.SZ,1.0,False,False,False
2024-01-26,7.91,8.11,7.88,8.06,2272287,2172799799.01,1.51,1.17,000001.SZ,1.0,False,False,False
2024-01-29,8.13,8.32,8.02,8.14,2376252,2312173346.33,0.99,1.22,000001.SZ,1.0,False,False,False
2024-01-30,8.05,8.14,7.93,7.94,1579122,1515156603.96,-2.46,0.81,000001.SZ,1.0,False,False,False
2024-01-31,7.9,8.0,7.82,7.9,1357217,1286857396.81,-0.5,0.7,000001.SZ,1.0,False,False,False
2024-02-01,7.85,7.92,7.78,7.85,1055260,993481907.01,-0.63,0.54,000001.SZ,1.0,False,False,False
2024-02-02,7.86,7.91,7.51,7.71,1634214,1520605694.69,-1.78,0.84,000001.SZ,1.0,False,False,False
