date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2023-01-03,12.7,12.96,12.54,12.86,24900061.0,323634623.0,0.004758328301370485,5232943047.0,000301.SZ,1.0,67295647584.42,False,False,False,True,True
2023-01-04,12.86,12.93,12.61,12.68,19072504.0,248119781.0,0.003644699326688468,5232943047.0,000301.SZ,1.0,66353717835.96,False,False,False,True,True
2023-01-05,12.71,13.28,12.55,12.95,37756541.0,497552848.0,0.007215163754103055,5232943047.0,000301.SZ,1.0,67766612458.649994,False,False,False,True,True
2023-01-06,13.3,14.25,13.3,14.25,57243604.0,826895883.0,0.010939084084398214,5232943047.0,000301.SZ,1.0,74569438419.75,False,True,False,False,True
2023-01-09,14.69,15.1,14.43,14.5,136287600.0,2048086821.0,0.026044158855910438,5232943047.0,000301.SZ,1.0,75877674181.5,False,False,False,True,True
2023-01-10,14.65,14.69,14.07,14.17,52221745.0,760408663.0,0.009979421623925042,5232943047.0,000301.SZ,1.0,74150802975.99,False,False,False,True,True
2023-01-11,14.22,14.53,14.13,14.28,42802695.0,627238854.0,0.008179468917503012,5232943047.0,000301.SZ,1.0,74726426711.16,False,False,False,True,True
2023-01-12,14.28,14.63,14.02,14.07,36215175.0,526894370.0,0.006920613252376565,5232943047.0,000301.SZ,1.0,73627508671.29001,False,False,False,True,True
2023-01-13,14.11,14.24,13.71,13.96,36559914.0,520058668.0,0.006986491859673397,5232943047.0,000301.SZ,1.0,73051884936.12001,False,False,False,True,True
2023-01-16,13.93,14.5,13.8,14.39,42213100.0,615334979.0,0.008066799049953428,5232943047.0,000301.SZ,1.0,75302050446.33,False,False,False,True,True
2023-01-17,14.35,14.75,14.3,14.42,48632629.0,718555028.0,0.009293552129882372,5232943047.0,000301.SZ,1.0,75459038737.74,False,False,False,True,True
2023-01-18,14.41,14.59,14.26,14.46,30936633.0,457344981.0,0.005911899426793055,5232943047.0,000301.SZ,1.0,75668356459.62001,False,False,False,True,True
2023-01-19,14.36,14.44,14.18,14.37,23635122.0,345721512.0,0.004516602184988389,5232943047.0,000301.SZ,1.0,75197391585.39,False,False,False,True,True
2023-01-20,14.28,14.4,13.94,14.38,55722460.0,809006989.0,0.010131951396562327,5499676994.0,000301.SZ,1.0,79085355173.72,False,False,False,True,True
2023-01-30,14.52,14.8,14.47,14.54,57302932.0,853419260.0,0.010419326819105188,5499676994.0,000301.SZ,1.0,79965303492.76,False,False,False,True,True
2023-01-31,14.07,15.41,13.91,15.3,105667459.0,1617758927.0,0.01921339364389588,5499676994.0,000301.SZ,1.0,84145058008.2,False,False,False,True,True
2023-02-01,15.3,15.87,15.13,15.69,85210744.0,1347669629.0,0.015493772469358225,5499676994.0,000301.SZ,1.0,86289932035.86,False,False,False,True,True
2023-02-02,15.65,15.71,15.34,15.52,42311344.0,668659714.0,0.007693423458534117,5499676994.0,000301.SZ,1.0,85354986946.88,False,False,False,True,True
