date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down
2021-01-04,196.41,210.09,196.41,207.48,15433467.0,3669628522.0,0.010539778673598848,1464306555.0,000568.SZ,1.0,303814324031.39996,False,False,False
2021-01-05,207.48,222.66,206.14,222.51,15640878.0,3914144971.0,0.010681423194202665,1464306555.0,000568.SZ,1.0,325822851553.05,False,False,False
2021-01-06,223.11,231.11,215.45,225.95,17394704.0,4518171110.0,0.011879140976733522,1464306555.0,000568.SZ,1.0,330860066102.25,False,False,False
2021-01-07,225.53,228.35,218.01,228.28,14960633.0,3882804110.0,0.010216872245033417,1464306555.0,000568.SZ,1.0,334271900375.4,False,False,False
2021-01-08,227.88,230.0,216.66,220.07,17889445.0,4607199522.0,0.012217008070417331,1464306555.0,000568.SZ,1.0,322249943558.85,False,False,False
2021-01-11,219.45,219.88,205.02,212.69,19056773.0,4719071338.0,0.01301419633404564,1464306555.0,000568.SZ,1.0,311443361182.95,False,False,False
2021-01-12,209.04,226.56,208.25,225.95,17049828.0,4373373070.0,0.01164361925566877,1464306555.0,000568.SZ,1.0,330860066102.25,False,False,False
2021-01-13,226.73,232.1,223.1,229.31,16606668.0,4394991622.0,0.011340977709411402,1464306555.0,000568.SZ,1.0,335780136127.05,False,False,False
2021-01-14,226.57,229.48,218.03,222.23,13578459.0,3523821262.0,0.00927296197209197,1464306555.0,000568.SZ,1.0,325412845717.64996,False,False,False
2021-01-15,217.08,217.08,201.09,209.76,30672796.0,7394308747.0,0.020946977185388616,1464306555.0,000568.SZ,1.0,307152942976.8,False,False,False
2021-01-18,206.86,208.18,196.24,199.86,24130848.0,5628705058.0,0.016479368966561787,1464306555.0,000568.SZ,1.0,292656308082.30005,False,False,False
2021-01-19,203.3,208.42,195.2,198.02,18849555.0,4410572940.0,0.012872683616443963,1464306555.0,000568.SZ,1.0,289961984021.10004,False,False,False
2021-01-20,195.91,199.85,188.65,197.27,19820072.0,4494726611.0,0.013535466280829427,1464306555.0,000568.SZ,1.0,288863754104.85004,False,False,False
2021-01-21,196.24,207.47,195.98,205.7,18901986.0,4450523806.0,0.0129084896434135,1464306555.0,000568.SZ,1.0,301207858363.5,False,False,False
2021-01-22,205.44,207.91,201.17,205.96,12712220.0,3025040296.0,0.008681392538053619,1464306555.0,000568.SZ,1.0,301588578067.8,False,False,False
2021-01-25,205.96,226.56,205.88,226.56,23918262.0,6109499429.0,0.016334190349916174,1464306555.0,000568.SZ,1.0,331753293100.8,False,True,False
2021-01-26,227.32,229.57,222.41,226.81,16187892.0,4263858129.0,0.011054988413952705,1464306555.0,000568.SZ,1.0,332119369739.55,False,False,False
2021-01-27,222.43,224.78,208.75,218.8,18629495.0,4701857740.0,0.012722400877321757,1464306555.0,000568.SZ,1.0,320390274234.0,False,False,False
2021-01-28,213.62,220.52,211.55,215.36,13278373.0,3328071267.0,0.00906802810836287,1464306555.0,000568.SZ,1.0,315353059684.80005,False,False,False
2021-01-29,218.8,229.94,218.8,221.99,16025788.0,4174569531.0,0.010944284818830167,1464306555.0,000568.SZ,1.0,325061412144.45,False,False,False
2021-02-01,222.17,227.38,218.24,219.88,11786784.0,3050204597.0,0.008049396459882677,1464306555.0,000568.SZ,1.0,321971725313.39996,False,False,False
2021-02-02,220.3,241.2,220.29,240.5,22842030.0,6178093023.0,0.015599213103297212,1464306555.0,000568.SZ,1.0,352165726477.5,False,False,False
2021-02-03,238.61,242.65,236.96,240.34,13975944.0,3896260793.0,0.009544411279371758,1464306555.0,000568.SZ,1.0,351931437428.7,False,False,False
2021-02-04,238.62,251.44,237.39,240.39,17701582.0,5013852404.0,0.012088713213470522,1464306555.0,000568.SZ,1.0,352004652756.44995,False,False,False
2021-02-05,240.51,255.72,238.62,247.91,17166124.0,4948264063.0,0.011723039783838159,1464306555.0,000568.SZ,1.0,363016238050.05,False,False,False
2021-02-08,250.68,257.21,241.2,250.25,13474409.0,3905771220.0,0.009201904446845832,1464306555.0,000568.SZ,1.0,366442715388.75,False,False,False
