date,ticker,open,high,low,close,volume,amount,pct_change
2021-01-04,000300.SH,5212.93,5284.43,5190.94,5267.72,211711383,452796174336.0,1.08
2021-01-05,000300.SH,5245.84,5368.5,5234.38,5368.5,224931159,498041937920.0,1.91
2021-01-06,000300.SH,5386.51,5433.47,5341.43,5417.67,193773445,444434378752.0,0.92
2021-01-07,000300.SH,5428.39,5513.66,5413.35,5513.66,219872079,473385353216.0,1.77
2021-01-08,000300.SH,5526.29,5547.47,5442.69,5495.43,204324956,473567653888.0,-0.33
2021-01-11,000300.SH,5504.24,5555.69,5412.5,5441.16,231835983,522298482688.0,-0.99
2021-01-12,000300.SH,5419.5,5596.35,5417.63,5596.35,224220186,486233759744.0,2.85
2021-01-13,000300.SH,5609.26,5644.72,5535.14,5577.97,261569887,546959736832.0,-0.33
2021-01-14,000300.SH,5556.21,5568.02,5458.68,5470.46,243683379,501890113536.0,-1.93
2021-01-15,000300.SH,5471.39,5500.63,5390.27,5458.08,238637435,475709919232.0,-0.23
2021-01-18,000300.SH,5438.16,5541.46,5410.78,5518.52,207051868,422717210624.0,1.11
2021-01-19,000300.SH,5525.97,5532.48,5415.72,5437.52,211043425,433205178368.0,-1.47
2021-01-20,000300.SH,5439.91,5496.05,5426.54,5476.43,170913260,373770383360.0,0.72
2021-01-21,000300.SH,5492.96,5593.11,5490.56,5564.97,209950198,453183684608.0,1.62
2021-01-22,000300.SH,5562.38,5573.66,5513.88,5569.78,199300019,456622194688.0,0.09
2021-01-25,000300.SH,5564.12,5655.48,5543.27,5625.92,197047020,508166979584.0,1.01
2021-01-26,000300.SH,5600.9,5600.9,5506.0,5512.97,171904591,415008071680.0,-2.01
2021-01-27,000300.SH,5505.77,5534.99,5449.64,5528.0,160190840,376892604416.0,0.27
2021-01-28,000300.SH,5450.37,5462.24,5360.38,5377.14,170485586,376166522880.0,-2.73
2021-01-29,000300.SH,5413.97,5430.2,5288.1,5351.96,182178785,390287691776.0,-0.47
2021-02-01,000300.SH,5356.85,5422.3,5342.05,5417.65,166313705,346859085824.0,1.23
2021-02-02,000300.SH,5429.7,5503.21,5411.52,5501.09,165210565,380016717824.0,1.54
2021-02-03,000300.SH,5499.3,5532.89,5473.12,5485.2,188054318,404343603200.0,-0.29
2021-02-04,000300.SH,5453.98,5510.05,5411.57,5473.95,180575654,397995204608.0,-0.21
2021-02-05,000300.SH,5494.7,5550.77,5477.65,5483.41,189699599,395400134656.0,0.17
2021-02-08,000300.SH,5506.14,5576.49,5479.85,5564.56,164033774,367582773248.0,1.48
2021-02-09,000300.SH,5584.17,5686.25,5555.05,5686.25,164887260,378769121280.0,2.19
2021-02-10,000300.SH,5709.68,5823.42,5707.33,5807.72,170169787,417056464896.0,2.14
2021-02-18,000300.SH,5922.07,5930.91,5747.66,5768.38,218848686,507481235456.0,-0.68
2021-02-19,000300.SH,5734.02,5787.89,5667.32,5778.84,214475781,456433795072.0,0.18
2021-02-22,000300.SH,5785.51,5785.51,5597.33,5597.33,282124383,543633154048.0,-3.14
2021-02-23,000300.SH,5542.68,5644.76,5541.11,5579.67,233807726,424904470528.0,-0.32
2021-02-24,000300.SH,5591.48,5598.83,5379.73,5437.57,225428611,472369209344.0,-2.55
2021-02-25,000300.SH,5494.47,5527.63,5444.16,5469.56,230736028,412206157824.0,0.59
2021-02-26,000300.SH,5343.9,5416.32,5318.86,5336.76,212264543,405717700608.0,-2.43
2021-03-01,000300.SH,5389.25,5421.56,5345.94,5418.78,177463524,358146547712.0,1.54
2021-03-02,000300.SH,5453.28,5454.97,5305.05,5349.63,196511114,376444604416.0,-1.28
2021-03-03,000300.SH,5327.35,5452.4,5316.48,5452.21,194709053,337610313728.0,1.92
2021-03-04,000300.SH,5388.48,5392.37,5254.78,5280.71,212775212,384382455808.0,-3.15
2021-03-05,000300.SH,5191.97,5307.82,5174.25,5262.8,202627955,352539774976.0,-0.34
2021-03-08,000300.SH,5299.79,5326.26,5079.8,5080.02,230231634,407133802496.0,-3.47
2021-03-09,000300.SH,5066.15,5094.31,4917.91,4971.0,230711004,414415212544.0,-2.15
2021-03-10,000300.SH,5047.06,5055.28,4981.62,5003.61,169928489,309577408512.0,0.66
2021-03-11,000300.SH,5024.56,5138.41,5020.58,5128.22,189600765,333859201024.0,2.49
2021-03-12,000300.SH,5153.67,5153.67,5086.82,5146.38,201020590,323237752832.0,0.35
2021-03-15,000300.SH,5116.12,5120.88,4992.4,5035.54,204153083,330740514816.0,-2.15
2021-03-16,000300.SH,5054.41,5084.31,5009.95,5079.36,161390054,271755046912.0,0.87
2021-03-17,000300.SH,5062.77,5123.55,5020.13,5100.86,149162376,263492419584.0,0.42
2021-03-18,000300.SH,5114.59,5160.46,5111.13,5141.77,142901519,260930048000.0,0.8
2021-03-19,000300.SH,5068.53,5089.92,4980.76,5007.09,164174848,282974490624.0,-2.62
2021-03-22,000300.SH,5008.4,5071.34,4996.54,5057.15,167402632,264209100800.0,1.0
2021-03-23,000300.SH,5057.06,5064.02,4966.53,5009.25,158013967,255755378688.0,-0.95
2021-03-24,000300.SH,4985.4,5024.33,4919.89,4928.69,159385981,265970020352.0,-1.61
2021-03-25,000300.SH,4904.07,4950.76,4883.66,4926.35,132945188,219782049792.0,-0.05
2021-03-26,000300.SH,4953.95,5050.83,4953.95,5037.99,145926697,273901924352.0,2.27
2021-03-29,000300.SH,5052.26,5086.65,5010.39,5046.88,143388216,266176602112.0,0.18
2021-03-30,000300.SH,5043.1,5106.04,5032.8,5094.73,138618560,254928015360.0,0.95
2021-03-31,000300.SH,5085.95,5085.95,5015.61,5048.36,141335744,241058484224.0,-0.91
2021-04-01,000300.SH,5059.94,5115.43,5056.87,5110.78,120324890,211493322752.0,1.24
2021-04-02,000300.SH,5129.85,5169.83,5116.35,5161.56,127002255,248060375040.0,0.99
2021-04-06,000300.SH,5178.64,5181.15,5125.33,5140.34,109834209,213852442624.0,-0.41
2021-04-07,000300.SH,5141.66,5141.66,5065.19,5103.74,145763748,246271188992.0,-0.71
2021-04-08,000300.SH,5078.26,5129.13,5062.07,5112.21,141771046,228422004736.0,0.17
2021-04-09,000300.SH,5100.04,5100.04,5022.09,5035.34,128416509,221519790080.0,-1.5
2021-04-12,000300.SH,5026.98,5045.6,4933.01,4947.75,152644314,267218194432.0,-1.74
2021-04-13,000300.SH,4949.81,4994.54,4924.2,4939.64,132919357,225753231360.0,-0.16
2021-04-14,000300.SH,4945.69,4987.12,4940.27,4980.63,120860838,221036277760.0,0.83
2021-04-15,000300.SH,4969.91,4969.91,4900.3,4948.97,108829384,213820882944.0,-0.64
2021-04-16,000300.SH,4966.9,4979.17,4917.96,4966.18,111239923,213389172736.0,0.35
2021-04-19,000300.SH,4966.41,5088.21,4940.75,5087.02,154769825,307899777024.0,2.43
2021-04-20,000300.SH,5065.78,5119.86,5058.92,5083.37,136541701,276640587776.0,-0.07
2021-04-21,000300.SH,5055.24,5110.56,5047.99,5098.74,124637276,242574995456.0,0.3
2021-04-22,000300.SH,5114.28,5119.22,5067.14,5089.24,121167644,241488846848.0,-0.19
2021-04-23,000300.SH,5088.83,5149.98,5086.49,5135.45,122056991,264345182208.0,0.91
2021-04-26,000300.SH,5156.59,5181.11,5072.96,5077.24,151381967,325760385024.0,-1.13
2021-04-27,000300.SH,5076.64,5095.98,5042.61,5090.52,123961838,254738010112.0,0.26
2021-04-28,000300.SH,5073.97,5119.45,5059.26,5119.24,120620319,272182521856.0,0.56
2021-04-29,000300.SH,5128.28,5170.59,5113.65,5164.17,140092480,294112452608.0,0.88
2021-04-30,000300.SH,5156.36,5163.25,5094.93,5123.49,160121620,315075104768.0,-0.79
2021-05-06,000300.SH,5098.8,5132.9,5037.41,5061.12,158822630,323258265600.0,-1.22
2021-05-07,000300.SH,5073.46,5093.75,4996.04,4996.05,172258322,304638402560.0,-1.29
2021-05-10,000300.SH,5001.44,5019.39,4953.7,4992.42,170820585,282656808960.0,-0.07
2021-05-11,000300.SH,4956.08,5033.49,4925.92,5023.06,151526497,270931615744.0,0.61
2021-05-12,000300.SH,5003.82,5051.17,4995.4,5044.55,126619087,228344004608.0,0.43
2021-05-13,000300.SH,4992.35,5022.08,4975.45,4992.97,132279406,237821403136.0,-1.02
2021-05-14,000300.SH,5007.63,5112.98,4981.29,5110.59,159426181,318802788352.0,2.36
2021-05-17,000300.SH,5115.31,5206.69,5115.31,5184.99,153889633,335439912960.0,1.46
2021-05-18,000300.SH,5190.93,5201.67,5156.79,5187.6,118404260,238182264832.0,0.05
2021-05-19,000300.SH,5173.17,5193.56,5151.64,5172.27,118729984,250736279552.0,-0.3
2021-05-20,000300.SH,5167.05,5201.59,5152.04,5186.41,138454776,277088460800.0,0.27
2021-05-21,000300.SH,5199.13,5216.16,5123.12,5134.15,124768484,268053626880.0,-1.01
2021-05-24,000300.SH,5138.81,5155.59,5092.39,5155.59,126742336,278513131520.0,0.42
2021-05-25,000300.SH,5165.04,5324.36,5161.52,5318.48,182996838,404683304960.0,3.16
2021-05-26,000300.SH,5326.12,5344.28,5308.74,5320.59,169607096,346444644352.0,0.04
2021-05-27,000300.SH,5311.37,5378.48,5286.05,5338.23,148462856,311893704704.0,0.33
2021-05-28,000300.SH,5338.73,5360.28,5288.65,5321.09,164605806,330711896064.0,-0.32
2021-05-31,000300.SH,5318.08,5331.63,5281.69,5331.57,144603269,321450799104.0,0.2
2021-06-01,000300.SH,5320.47,5343.75,5269.26,5341.68,143831475,321845841920.0,0.19
