,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-02-01,999200.0
2021-02-02,1001402.7307498483
2021-02-03,988826.5691189904
2021-02-04,974648.8023196018
2021-02-05,972077.432036571
2021-02-08,975295.4206937186
2021-02-09,988266.5826973635
2021-02-10,996953.5055436337
2021-02-18,1018028.5987435778
2021-02-19,1034703.5955127674
2021-02-22,1044506.2806246466
2021-02-23,1038424.6578337
2021-02-24,1026448.5861772181
2021-02-25,1033971.0263158735
2021-02-26,1020786.6545693703
2021-03-01,1030304.6419374683
2021-03-02,1025556.5934785844
2021-03-03,1038714.3595307119
2021-03-04,1039001.9909282505
2021-03-05,1044696.4076499118
2021-03-08,1047416.7832432461
2021-03-09,1040874.3129659647
2021-03-10,1032657.8958747896
2021-03-11,1050333.9008626067
2021-03-12,1068197.834595553
2021-03-15,1072624.9578218947
2021-03-16,1079508.7042713496
2021-03-17,1066864.0370758676
2021-03-18,1064924.3836445822
2021-03-19,1057130.4188880739
2021-03-22,1076467.6357897783
2021-03-23,1066304.4410573
2021-03-24,1060196.4648190946
2021-03-25,1053001.5466969286
2021-03-26,1062464.9783813264
2021-03-29,1071543.9857196906
2021-03-30,1072983.141651515
2021-03-31,1080999.8714304813
2021-04-01,1073513.3034371696
2021-04-02,1074203.654260293
2021-04-06,1075729.5918231995
2021-04-07,1084589.4660407181
2021-04-08,1078796.0918317297
2021-04-09,1075058.7708690097
2021-04-12,1071064.9137499477
2021-04-13,1060448.3416645802
2021-04-14,1065269.2363045434
2021-04-15,1059792.0129112185
2021-04-16,1072227.4313890666
2021-04-19,1083790.0174036024
2021-04-20,1074116.8778706277
2021-04-21,1068943.708954198
2021-04-22,1067429.6150994643
2021-04-23,1066193.6395082427
2021-04-26,1058439.777710329
2021-04-27,1053769.9058043284
2021-04-28,1052903.1489722214
2021-04-29,1065968.6686492416
