,weighted_log_size
2021-02-01,23.710319486627867
2021-03-01,24.632017980613874
2021-04-01,24.281474368442794
2021-05-06,24.3436875988558
2021-06-01,24.46035204426765
2021-07-01,24.219464730177783
2021-08-02,24.437588035146252
2021-09-01,24.527782850214813
2021-10-08,24.48767066917516
2021-11-01,24.563824709010454
2021-12-01,24.600112542001465
2022-01-04,24.420235571428933
2022-02-07,24.6555116886161
2022-03-01,24.75914544108524
2022-04-01,24.816668432773916
2022-05-05,24.803609218852756
2022-06-01,24.78221923817748
2022-07-01,24.48664526599135
2022-08-01,23.554011129073363
2022-09-01,24.8450293777666
2022-10-10,24.838907251097368
2022-11-01,24.752412101797788
2022-12-01,24.747435732862524
2023-01-03,24.316258943894535
2023-02-01,24.689042762233985
2023-03-01,24.801854146913335
2023-04-03,24.288845236226077
2023-05-04,24.966461662843052
2023-06-01,24.623507104057108
2023-07-03,25.00269156892257
2023-08-01,24.789211077748888
2023-09-01,24.7325540044326
2023-10-09,24.74557699866872
2023-11-01,24.797029754789495
2023-12-01,24.774399900135307
2024-01-02,24.829153991551948
2024-02-01,25.00377605775747
2024-03-01,24.949221329600903
2024-04-01,24.883062706027314
2024-05-06,25.057191713622977
2024-06-03,25.012373036557054
2024-07-01,25.021997533371323
2024-08-01,25.12724196407879
2024-09-02,25.041885909854756
2024-10-08,25.1217419372971
2024-11-01,25.06852769214578
2024-12-02,24.86242879683511
2024-12-31,25.34808273416035
