,equity
2021-01-01,1000000.0
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,999600.0
2021-02-01,995902.8849872542
2021-02-02,994746.4932389292
2021-02-03,992637.4130699062
2021-02-04,991887.3547120312
2021-02-05,989130.2661573883
2021-02-08,985998.1260287777
2021-02-09,990143.9513192832
2021-02-10,986138.5023273183
2021-02-11,986847.0120893567
2021-02-12,983457.5154330264
2021-02-15,980040.8831930931
2021-02-16,977467.9430552773
2021-02-17,979116.9612445886
2021-02-18,975546.4728344969
2021-02-19,977581.6648999925
2021-02-22,976230.01889296
2021-02-23,977042.9099093223
2021-02-24,982463.5583467173
2021-02-25,982994.9362626947
2021-02-26,984043.3279895891
2021-03-01,983111.0178511657
2021-03-02,982161.9976513103
2021-03-03,980066.8077564037
2021-03-04,985216.1096148771
2021-03-05,983229.4485224371
2021-03-08,984184.0561877007
2021-03-09,988830.3255165641
2021-03-10,993731.7269660546
2021-03-11,990687.7323841667
2021-03-12,989648.8318138361
2021-03-15,995666.9101299652
2021-03-16,997380.6357454654
2021-03-17,990588.3339764836
2021-03-18,992609.4272036614
2021-03-19,998158.3283503479
2021-03-22,992838.3260205624
2021-03-23,995531.087377386
2021-03-24,994356.9285922935
2021-03-25,992291.748243438
2021-03-26,993405.3757613617
2021-03-29,996791.1931202072
2021-03-30,1000325.3702939164
2021-03-31,1007758.2168822942
2021-04-01,1009571.3688212942
2021-04-02,1007845.578094642
2021-04-05,1006911.0338819091
2021-04-06,1003678.6898571182
2021-04-07,1006869.8326389784
2021-04-08,1016630.3849757853
2021-04-09,1015225.1356524562
2021-04-12,1015287.3706746052
2021-04-13,1012438.7624603757
2021-04-14,1012203.6352568401
2021-04-15,1023067.7345228536
2021-04-16,1027306.106851413
2021-04-19,1029077.7719765609
2021-04-20,1028159.7538203207
2021-04-21,1025956.9997945686
2021-04-22,1037968.3073877036
2021-04-23,1042219.997936477
2021-04-26,1052904.5887455654
2021-04-27,1055617.6353103393
2021-04-28,1054231.738969777
2021-04-29,1058332.654055891
2021-04-30,1057569.7924271023
2021-05-03,1061238.1918907468
2021-05-04,1064341.1225775343
2021-05-05,1056512.1926838332
2021-05-06,1067214.9579496009
2021-05-07,1072739.7300755256
2021-05-10,1077978.1748943685
2021-05-11,1071828.239149747
2021-05-12,1075416.5790740221
2021-05-13,1072541.3004192696
2021-05-14,1075444.6879053928
2021-05-17,1075508.95634455
2021-05-18,1078537.1791149431
2021-05-19,1076391.3219932471
2021-05-20,1084513.0180662258
2021-05-21,1087722.1123508082
2021-05-24,1090309.5517894002
2021-05-25,1080779.99434705
2021-05-26,1078867.0749897184
2021-05-27,1082155.089682137
2021-05-28,1081190.827822063
2021-05-31,1087626.9248004355
2021-06-01,1083615.9145726177
2021-06-02,1080248.4148738582
2021-06-03,1076655.6036053486
2021-06-04,1071231.6915524313
2021-06-07,1079398.4127448497
2021-06-08,1075385.0417244225
2021-06-09,1085845.7995707
2021-06-10,1078566.3086151788
2021-06-11,1073611.4955644226
2021-06-14,1075315.8095124292
2021-06-15,1076170.6790881024
2021-06-16,1073567.5517925932
2021-06-17,1072271.046195937
2021-06-18,1066502.2535069175
2021-06-21,1066793.9096873482
2021-06-22,1067340.513310564
