,equity
2024-01-02,1000000.0
2024-01-03,1000000.0
2024-01-04,1000000.0
2024-01-05,1000000.0
2024-01-08,1000000.0
2024-01-09,1000000.0
2024-01-10,1000000.0
2024-01-11,1000000.0
2024-01-12,1000000.0
2024-01-15,1000000.0
2024-01-16,1000000.0
2024-01-17,1000000.0
2024-01-18,1000000.0
2024-01-19,1000000.0
2024-01-22,1000000.0
2024-01-23,1000000.0
2024-01-24,1000000.0
2024-01-25,1000000.0
2024-01-26,1000000.0
2024-01-29,1000000.0
2024-01-30,1000000.0
2024-01-31,999600.0
2024-02-01,1002398.5934832343
2024-02-02,993072.3079276418
2024-02-05,992274.1119776501
2024-02-06,1032913.0349039341
2024-02-07,1041257.7934351497
2024-02-08,1050918.5516518939
2024-02-19,1063064.5304473666
2024-02-20,1073780.5297623158
2024-02-21,1080449.6072967416
2024-02-22,1088431.703467646
2024-02-23,1083072.2399250795
2024-02-26,1081504.6885430634
2024-02-27,1086350.693339164
2024-02-28,1069468.5136882183
2024-02-29,1106448.4937111416
2024-03-01,1111890.0693482666
2024-03-04,1099328.7343636635
2024-03-05,1100344.5994584206
2024-03-06,1103625.0884399042
2024-03-07,1097992.8271204736
2024-03-08,1107341.3248552154
2024-03-11,1108743.9807894472
2024-03-12,1100457.824304226
2024-03-13,1087791.084444244
2024-03-14,1093512.5145795844
2024-03-15,1104107.5543534139
2024-03-18,1108363.39442566
2024-03-19,1098962.0715903917
2024-03-20,1094892.0982423008
2024-03-21,1085931.7664827874
2024-03-22,1071414.981468568
2024-03-25,1075373.596146799
2024-03-26,1082847.158163768
2024-03-27,1072074.6935076297
2024-03-28,1084306.663929784
2024-03-29,1097833.833595209
