,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,999600.0
2021-02-01,1015228.6706457462
2021-02-02,1034433.7360619265
2021-02-03,1035020.3024645866
2021-02-04,1031328.8545381351
2021-02-05,1032324.9703214559
2021-02-08,1049860.3098896483
2021-02-09,1076290.1471156708
2021-02-10,1100215.422009351
2021-02-18,1096916.8910355081
2021-02-19,1092192.6609586251
2021-02-22,1058681.5644320417
2021-02-23,1052939.4215094356
2021-02-24,1027108.4267491258
2021-02-25,1027052.5783685092
2021-02-26,995726.0184878904
2021-03-01,1020154.064490683
2021-03-02,1013520.9205614115
2021-03-03,1026765.6670475322
2021-03-04,985499.4843071898
2021-03-05,988443.231454266
2021-03-08,953016.6415852084
2021-03-09,924861.848771649
2021-03-10,934719.090659205
2021-03-11,955350.2313281839
2021-03-12,950668.9232302059
2021-03-15,919089.8200629923
2021-03-16,923755.5296344314
2021-03-17,938313.469805436
2021-03-18,944174.9066667978
2021-03-19,917813.7041179914
2021-03-22,926972.6165391617
2021-03-23,918444.6968862949
2021-03-24,900178.454277447
2021-03-25,900988.9966868298
2021-03-26,930604.5124214487
2021-03-29,928227.7620836886
2021-03-30,940502.9783054328
2021-03-31,932035.634252072
2021-04-01,944151.7433372884
2021-04-02,958146.0778176825
2021-04-06,956797.2496474474
2021-04-07,946859.9703088315
2021-04-08,946874.2357068704
2021-04-09,933421.7030563066
2021-04-12,916817.2596363464
2021-04-13,921573.531879697
2021-04-14,930992.7221639563
2021-04-15,922499.1730959159
2021-04-16,922240.285048783
2021-04-19,946942.6631071931
2021-04-20,942576.2320617376
2021-04-21,941091.9749440372
2021-04-22,942341.7000400505
2021-04-23,952873.7951512337
2021-04-26,941867.6671494067
2021-04-27,940375.9325251362
2021-04-28,937344.6460751585
2021-04-29,946668.0094810171
2021-04-30,936838.2952727681
2021-05-06,935676.5566127793
2021-05-07,936784.4815367218
