,weighted_log_size
2021-02-01,23.710319486627867
2021-03-01,24.15212647893032
2021-04-01,24.02065862028291
2021-05-06,24.401691497416486
2021-06-01,24.294908087733987
2021-07-01,24.424392999301695
2021-08-02,24.29913142613777
2021-09-01,24.475972362548227
2021-10-08,24.342998896201955
2021-11-01,24.31006982928166
2021-12-01,24.629149523081942
2022-01-04,24.513301201251195
2022-02-07,24.1225790016105
2022-03-01,24.33126546552694
2022-04-01,24.06622064973165
2022-05-05,24.354961152355195
2022-06-01,24.782589663391363
2022-07-01,24.43194096867863
2022-08-01,24.396736398634612
2022-09-01,24.407685238297766
2022-10-10,24.072056081507416
2022-11-01,24.590143558242247
2022-12-01,24.248629522611303
2023-01-03,24.291813980609074
2023-02-01,24.8732405576073
2023-03-01,24.723566084647263
2023-04-03,24.609629736345923
2023-05-04,24.709718380166553
2023-06-01,24.489920993608536
2023-07-03,24.62068240744391
2023-08-01,24.537483151054836
2023-09-01,24.708474877533085
2023-10-09,24.574464841703005
2023-11-01,24.70583032683559
2023-12-01,24.717887601263243
2024-01-02,24.64787470440254
2024-02-01,24.345882265048726
2024-03-01,24.639150407426104
2024-04-01,24.64168576564441
2024-05-06,24.77965338798019
2024-06-03,24.733395089456945
2024-07-01,24.81616389764124
2024-08-01,24.77757679907988
2024-09-02,24.670152800809362
2024-10-08,25.035876999824268
2024-11-01,25.083899893872115
2024-12-02,24.91477938551205
2024-12-31,24.60677442596866
