,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-02-01,999200.0
2021-02-02,1001509.8915190252
2021-02-03,989757.4426272156
2021-02-04,976941.2855968534
2021-02-05,974878.6280459956
2021-02-08,977328.4524463735
2021-02-09,988548.3203859433
2021-02-10,996705.8794279675
2021-02-18,1017567.0496126787
2021-02-19,1036022.1189301918
2021-02-22,1047481.3617112485
2021-02-23,1041514.4036868621
2021-02-24,1030253.6670078795
2021-02-25,1039306.4041394982
2021-02-26,1025953.7785076936
2021-03-01,1033748.103786505
2021-03-02,1028086.2624438303
2021-03-03,1038239.9207406415
2021-03-04,1031919.7092281579
2021-03-05,1039544.106047344
2021-03-08,1035085.6046087119
2021-03-09,1021833.0494106386
2021-03-10,1012562.0093866101
2021-03-11,1027676.5025454088
2021-03-12,1041347.637869319
2021-03-15,1035925.1423472711
2021-03-16,1041498.9781495826
2021-03-17,1035314.9499579492
2021-03-18,1034655.5738111723
2021-03-19,1029741.0243003666
2021-03-22,1052733.520703449
2021-03-23,1044294.2953986139
2021-03-24,1039880.6351864673
2021-03-25,1034002.1845434734
2021-03-26,1043865.9721000433
2021-03-29,1051232.000521838
2021-03-30,1053779.4847308046
2021-03-31,1060295.8615034856
2021-04-01,1053151.908787173
2021-04-02,1061135.175317167
2021-04-06,1063101.2674960734
2021-04-07,1067712.0326027034
2021-04-08,1064094.4791400807
2021-04-09,1058782.4646674304
2021-04-12,1050796.2903804549
2021-04-13,1037988.8260569389
2021-04-14,1043092.1752657896
2021-04-15,1038260.3680197975
2021-04-16,1049427.24488431
2021-04-19,1064955.5174860016
2021-04-20,1055604.735424673
2021-04-21,1051203.6379852751
2021-04-22,1050628.005760519
2021-04-23,1049183.8286228026
2021-04-26,1043347.6994627728
2021-04-27,1037289.1152939501
2021-04-28,1039075.6451825352
2021-04-29,1050092.6922174802
