,weighted_log_size
2021-02-01,23.70386271095611
2021-03-01,24.11991938755439
2021-04-01,23.962483435656623
2021-05-06,24.376441901502247
2021-06-01,24.275982908059873
2021-07-01,24.402873006718963
2021-08-02,24.271463533192495
2021-09-01,24.426319380409062
2021-10-08,24.296395252777316
2021-11-01,24.256049165272188
2021-12-01,24.554974952812632
2022-01-04,24.46644502387469
2022-02-07,24.093413027287948
2022-03-01,24.25223082925044
2022-04-01,23.948797262451652
2022-05-05,24.289543086507486
2022-06-01,24.741455499552558
2022-07-01,24.389936582799372
2022-08-01,24.33937848231446
2022-09-01,24.352313863314677
2022-10-10,24.012731406157332
2022-11-01,24.545233778541146
2022-12-01,24.1830138377749
2023-01-03,24.259973897848763
2023-02-01,24.83603261291841
2023-03-01,24.714612543562765
2023-04-03,24.602431444163667
2023-05-04,24.683001663984086
2023-06-01,24.48694569795726
2023-07-03,24.61076378436308
2023-08-01,24.54411222216579
2023-09-01,24.73151981681021
2023-10-09,24.537920118563356
2023-11-01,24.687669111214976
2023-12-01,24.70002099527333
2024-01-02,24.653657982685097
2024-02-01,24.290035163335535
2024-03-01,24.651430791854846
2024-04-01,24.628137334578575
2024-05-06,24.756335664429265
2024-06-03,24.712566458109535
2024-07-01,24.752549693672094
2024-08-01,24.7580456926441
2024-09-02,24.656698236908337
2024-10-08,25.024067776985145
2024-11-01,25.07488010429291
2024-12-02,24.904299310476908
2024-12-31,24.6046127266291
