,equity
2023-01-03,1000000.0
2023-01-04,1000000.0
2023-01-05,1000000.0
2023-01-06,1000000.0
2023-01-09,1000000.0
2023-01-10,1000000.0
2023-01-11,1000000.0
2023-01-12,1000000.0
2023-01-13,1000000.0
2023-01-16,1000000.0
2023-01-17,1000000.0
2023-01-18,1000000.0
2023-01-19,1000000.0
2023-01-20,1000000.0
2023-01-30,1000000.0
2023-01-31,1000000.0
2023-02-01,1000000.0
2023-02-02,1000000.0
2023-02-03,1000000.0
2023-02-06,1000000.0
2023-02-07,1000000.0
2023-02-08,1000000.0
2023-02-09,1000000.0
2023-02-10,1000000.0
2023-02-13,1000000.0
2023-02-14,1000000.0
2023-02-15,1000000.0
2023-02-16,1000000.0
2023-02-17,1000000.0
2023-02-20,1000000.0
2023-02-21,1000000.0
2023-02-22,1000000.0
2023-02-23,1000000.0
2023-02-24,1000000.0
2023-02-27,1000000.0
2023-02-28,1000000.0
2023-03-01,999200.0
2023-03-02,994981.0681432787
2023-03-03,994632.5643960517
2023-03-06,982902.1455654794
2023-03-07,965456.8531303509
2023-03-08,963194.6046117011
2023-03-09,963029.0388429906
2023-03-10,946862.482510866
2023-03-13,955013.2542144543
2023-03-14,941592.1914083743
2023-03-15,947131.9345892787
2023-03-16,929894.5478281309
2023-03-17,941219.6485108347
2023-03-20,932619.6732442967
2023-03-21,942112.8290641988
2023-03-22,956844.751918981
2023-03-23,961908.7990979272
2023-03-24,956814.3691529471
2023-03-27,945261.999606265
2023-03-28,944499.3894432827
2023-03-29,941835.7917788066
2023-03-30,942736.4090028183
2023-03-31,939493.9975211717
2023-04-03,950116.043836607
2023-04-04,947728.0282003308
2023-04-06,950624.8107103914
2023-04-07,969996.759391481
2023-04-10,960571.1594231369
2023-04-11,966226.4424090482
2023-04-12,970532.1977054492
2023-04-13,952155.035093223
2023-04-14,950726.6429450641
2023-04-17,967807.4696735439
2023-04-18,974529.8369007596
2023-04-19,964399.9092248817
2023-04-20,969563.7921653657
2023-04-21,955779.8412224721
2023-04-24,941659.294309636
2023-04-25,941017.5765417215
2023-04-26,934327.763480076
2023-04-27,939856.5829107194
2023-04-28,952624.1534212074
2023-05-04,948091.6156280406
2023-05-05,954899.6071481388
2023-05-08,963738.6046130257
2023-05-09,954858.449053616
2023-05-10,946682.4311277801
2023-05-11,946081.7400407271
2023-05-12,931609.549858708
2023-05-15,938987.7514670923
2023-05-16,931643.31524218
2023-05-17,929726.564743165
2023-05-18,930426.4994542043
2023-05-19,927888.1509246037
2023-05-22,930240.4369857425
2023-05-23,921043.3306607642
2023-05-24,906146.4574972334
2023-05-25,910541.4889233615
2023-05-26,919538.2522805266
2023-05-29,920746.1511421603
2023-05-30,924639.9012152519
2023-05-31,927082.8951149684
2023-06-01,921796.0237439125
2023-06-02,944468.6181948307
2023-06-05,946855.7441036289
2023-06-06,937126.083270196
2023-06-07,940209.1166952983
2023-06-08,951467.0128255419
2023-06-09,949944.7413357858
2023-06-12,946998.1139797892
2023-06-13,947234.075622969
2023-06-14,950353.844185943
2023-06-15,967672.4439044379
2023-06-16,975731.7112797799
2023-06-19,966005.3824545736
2023-06-20,975383.8002160356
2023-06-21,966138.194965189
2023-06-26,955642.8461069142
2023-06-27,975524.9762412243
2023-06-28,974090.7132259845
2023-06-29,980052.4615834999
2023-06-30,989307.499599132
