,excess_return
2023-01-03,0.0
2023-01-04,-0.0196562064448092
2023-01-05,-0.009548121932354436
2023-01-06,-0.009022014411046983
2023-01-09,-0.0016384668178960199
2023-01-10,0.008640195632788783
2023-01-11,-0.010267096866978478
2023-01-12,0.002748446307316757
2023-01-13,-0.00904074100116116
2023-01-16,-0.018427762373908016
2023-01-17,-0.0013332861403887591
2023-01-18,-0.0005039980346039641
2023-01-19,-0.0038569664109140006
2023-01-20,-0.0025038801302069424
2023-01-30,0.0034647632434137987
2023-01-31,-0.0008965303089697868
2023-02-01,-0.006298237681792024
2023-02-02,0.007813311809274096
2023-02-03,0.010098095011615571
2023-02-06,0.015203906425731453
2023-02-07,-0.005653430863224354
2023-02-08,0.007565030044750828
2023-02-09,-0.016851642188659366
2023-02-10,-0.0049407379355611986
2023-02-13,-0.008418310395021389
2023-02-14,-0.00555971414873381
2023-02-15,-0.0025320848826663744
2023-02-16,0.007570409128448266
2023-02-17,0.01384089440013693
2023-02-20,-0.04355515801639459
2023-02-21,-0.004886555502590331
2023-02-22,0.0035486750951462254
2023-02-23,-0.0009762666892378091
2023-02-24,0.009990126312771089
2023-02-27,0.0008364568097534164
2023-02-28,-0.005435984572735086
2023-03-01,-0.015199731088680668
2023-03-02,0.0
2023-03-03,0.0
2023-03-06,2.7755575615628914e-17
2023-03-07,4.163336342344337e-17
2023-03-08,2.7755575615628914e-17
2023-03-09,-4.163336342344337e-17
2023-03-10,-2.7755575615628914e-17
2023-03-13,-4.163336342344337e-17
2023-03-14,-1.3877787807814457e-17
2023-03-15,-1.1102230246251565e-16
2023-03-16,-1.3877787807814457e-17
2023-03-17,-6.938893903907228e-17
2023-03-20,4.163336342344337e-17
2023-03-21,-1.1102230246251565e-16
2023-03-22,1.3877787807814457e-17
2023-03-23,-5.551115123125783e-17
2023-03-24,5.551115123125783e-17
2023-03-27,1.3877787807814457e-17
2023-03-28,-4.163336342344337e-17
2023-03-29,-1.3877787807814457e-17
2023-03-30,9.71445146547012e-17
2023-03-31,-4.163336342344337e-17
2023-04-03,-4.163336342344337e-17
2023-04-04,2.7755575615628914e-17
2023-04-06,-2.7755575615628914e-17
2023-04-07,-8.326672684688674e-17
2023-04-10,5.551115123125783e-17
2023-04-11,9.71445146547012e-17
2023-04-12,-1.3877787807814457e-17
2023-04-13,-2.7755575615628914e-17
2023-04-14,-2.7755575615628914e-17
2023-04-17,4.163336342344337e-17
2023-04-18,1.1102230246251565e-16
2023-04-19,-1.3877787807814457e-17
2023-04-20,1.1102230246251565e-16
2023-04-21,-5.551115123125783e-17
2023-04-24,-1.3877787807814457e-17
2023-04-25,-1.3877787807814457e-17
2023-04-26,8.326672684688674e-17
2023-04-27,-1.1102230246251565e-16
2023-04-28,8.326672684688674e-17
2023-05-04,-4.163336342344337e-17
2023-05-05,-9.71445146547012e-17
2023-05-08,-5.551115123125783e-17
2023-05-09,1.249000902703301e-16
2023-05-10,4.163336342344337e-17
2023-05-11,0.0
2023-05-12,-5.551115123125783e-17
2023-05-15,2.7755575615628914e-17
2023-05-16,1.3877787807814457e-17
2023-05-17,1.249000902703301e-16
2023-05-18,-5.551115123125783e-17
2023-05-19,-4.163336342344337e-17
2023-05-22,-4.163336342344337e-17
2023-05-23,1.3877787807814457e-17
2023-05-24,-2.7755575615628914e-17
2023-05-25,1.3877787807814457e-17
2023-05-26,-4.163336342344337e-17
2023-05-29,-6.938893903907228e-17
2023-05-30,5.551115123125783e-17
2023-05-31,-5.551115123125783e-17
2023-06-01,-1.3877787807814457e-17
2023-06-02,0.0
2023-06-05,-1.1102230246251565e-16
2023-06-06,1.3877787807814457e-17
2023-06-07,-1.1102230246251565e-16
2023-06-08,1.3877787807814457e-17
2023-06-09,4.163336342344337e-17
2023-06-12,-1.3877787807814457e-17
2023-06-13,0.0
2023-06-14,-9.71445146547012e-17
2023-06-15,-5.551115123125783e-17
2023-06-16,9.71445146547012e-17
2023-06-19,-2.7755575615628914e-17
2023-06-20,1.3877787807814457e-17
2023-06-21,1.3877787807814457e-17
2023-06-26,-2.7755575615628914e-17
2023-06-27,-1.3877787807814457e-17
2023-06-28,-5.551115123125783e-17
2023-06-29,-2.7755575615628914e-17
2023-06-30,-5.551115123125783e-17
