,holding_count,top1_weight,top5_weight,herfindahl
2021-02-01,20,0.05,0.25,0.05000000000000003
2021-03-01,20,0.05,0.25,0.05000000000000003
2021-04-01,20,0.05,0.25,0.05000000000000003
2021-05-06,20,0.05,0.25,0.05000000000000003
2021-06-01,20,0.05,0.25,0.05000000000000003
2021-07-01,20,0.05,0.25,0.05000000000000003
2021-08-02,20,0.05,0.25,0.05000000000000003
2021-09-01,20,0.05,0.25,0.05000000000000003
2021-10-08,20,0.05,0.25,0.05000000000000003
2021-11-01,20,0.05,0.25,0.05000000000000003
2021-12-01,20,0.05,0.25,0.05000000000000003
2022-01-04,20,0.05,0.25,0.05000000000000003
2022-02-07,20,0.05,0.25,0.05000000000000003
2022-03-01,20,0.05,0.25,0.05000000000000003
2022-04-01,20,0.05,0.25,0.05000000000000003
2022-05-05,20,0.05,0.25,0.05000000000000003
2022-06-01,20,0.05,0.25,0.05000000000000003
2022-07-01,20,0.05,0.25,0.05000000000000003
2022-08-01,20,0.05,0.25,0.05000000000000003
2022-09-01,20,0.05,0.25,0.05000000000000003
2022-10-10,20,0.05,0.25,0.05000000000000003
2022-11-01,20,0.05,0.25,0.05000000000000003
2022-12-01,20,0.05,0.25,0.05000000000000003
2023-01-03,20,0.05,0.25,0.05000000000000003
2023-02-01,20,0.05,0.25,0.05000000000000003
2023-03-01,20,0.05,0.25,0.05000000000000003
2023-04-03,20,0.05,0.25,0.05000000000000003
2023-05-04,20,0.05,0.25,0.05000000000000003
2023-06-01,20,0.05,0.25,0.05000000000000003
2023-07-03,20,0.05,0.25,0.05000000000000003
2023-08-01,20,0.05,0.25,0.05000000000000003
2023-09-01,20,0.05,0.25,0.05000000000000003
2023-10-09,20,0.05,0.25,0.05000000000000003
2023-11-01,20,0.05,0.25,0.05000000000000003
2023-12-01,20,0.05,0.25,0.05000000000000003
2024-01-02,20,0.05,0.25,0.05000000000000003
2024-02-01,20,0.05,0.25,0.05000000000000003
2024-03-01,20,0.05,0.25,0.05000000000000003
2024-04-01,20,0.05,0.25,0.05000000000000003
2024-05-06,20,0.05,0.25,0.05000000000000003
2024-06-03,20,0.05,0.25,0.05000000000000003
2024-07-01,20,0.05,0.25,0.05000000000000003
2024-08-01,20,0.05,0.25,0.05000000000000003
2024-09-02,20,0.05,0.25,0.05000000000000003
2024-10-08,20,0.05,0.25,0.05000000000000003
2024-11-01,20,0.05,0.25,0.05000000000000003
2024-12-02,20,0.05,0.25,0.05000000000000003
2024-12-31,20,0.05,0.25,0.05000000000000003
