,weighted_log_size
2021-02-01,23.63916937702239
2021-03-01,24.054389596655447
2021-04-01,23.70684007011529
2021-05-06,24.224650265126762
2021-06-01,24.1335210226242
2021-07-01,24.135965548003803
2021-08-02,24.00700047956844
2021-09-01,24.124293094002997
2021-10-08,24.07199016804234
2021-11-01,23.922988113404593
2021-12-01,24.29629179334887
2022-01-04,24.467332033529576
2022-02-07,23.946153526053994
2022-03-01,24.082557611252312
2022-04-01,23.579375940897016
2022-05-05,24.19148872476553
2022-06-01,24.64290574873337
2022-07-01,24.165570688486255
2022-08-01,24.151694102044896
2022-09-01,24.02910857470186
2022-10-10,23.692678133279074
2022-11-01,24.422181297240556
2022-12-01,24.129715263587546
2023-01-03,24.149616895622792
2023-02-01,24.708929002493296
2023-03-01,24.673063885534802
2023-04-03,24.738387084781507
2023-05-04,24.617683747310053
2023-06-01,24.531320738993116
2023-07-03,24.5361777997785
2023-08-01,24.536244132065203
2023-09-01,24.76087329898008
2023-10-09,24.454131735637223
2023-11-01,24.581568026217898
2023-12-01,24.64427343839549
2024-01-02,24.600321291966445
2024-02-01,24.027946026386633
2024-03-01,24.743347995718008
2024-04-01,24.57246634133636
2024-05-06,24.674009737088358
2024-06-03,24.692148356787776
2024-07-01,24.579261902712837
2024-08-01,24.766888685409683
2024-09-02,24.593645447396952
2024-10-08,24.96543222671174
2024-11-01,25.052645024680075
2024-12-02,24.84960804135116
2024-12-31,24.557640315804594
