,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-02-01,999200.0
2021-02-02,1001287.6213330351
2021-02-03,993271.1350088599
2021-02-04,984246.834858336
2021-02-05,985259.1350947197
2021-02-08,982820.6215626416
2021-02-09,989094.7544021886
2021-02-10,997867.7574700371
2021-02-18,1018316.2314036826
2021-02-19,1038243.0065869755
2021-02-22,1050792.6644205127
2021-02-23,1045173.8962806026
2021-02-24,1037386.2222676631
2021-02-25,1044766.2306596963
2021-02-26,1030177.2312449384
2021-03-01,1033704.0380917169
2021-03-02,1028550.1857955321
2021-03-03,1039102.0461736944
2021-03-04,1039607.452216076
2021-03-05,1046830.6686814629
2021-03-08,1047657.5149183302
2021-03-09,1035858.3456170523
2021-03-10,1021725.4607950447
2021-03-11,1036022.4377016277
2021-03-12,1049995.0437964017
2021-03-15,1047592.8004817312
2021-03-16,1053482.4501737645
2021-03-17,1043346.1229950938
2021-03-18,1042082.7181474159
2021-03-19,1041027.9802286457
2021-03-22,1062226.782524862
2021-03-23,1052147.046709621
2021-03-24,1048514.8205315006
2021-03-25,1042524.9739648793
2021-03-26,1051960.7574519413
2021-03-29,1061344.0421623855
2021-03-30,1064431.7220653028
2021-03-31,1073318.580440076
2021-04-01,1063125.886559772
2021-04-02,1067782.7396759433
2021-04-06,1070341.6751753292
2021-04-07,1073440.5497601796
2021-04-08,1069242.7745036767
2021-04-09,1063265.5601076512
2021-04-12,1056443.9552433547
2021-04-13,1042097.3589465641
2021-04-14,1048134.4193821877
2021-04-15,1040191.3068666304
2021-04-16,1052163.9067136291
2021-04-19,1065957.5206235724
2021-04-20,1057677.2442506421
2021-04-21,1055443.119044356
2021-04-22,1054305.2749256485
2021-04-23,1053128.804237802
2021-04-26,1044828.0618268283
2021-04-27,1040223.6479162413
2021-04-28,1041951.1732209509
2021-04-29,1050667.7779350553
