,turnover
2021-02-01,0.5
2021-03-01,0.44
2021-04-01,0.68
2021-05-06,0.6399999999999999
2021-06-01,0.44000000000000006
2021-07-01,0.32000000000000006
2021-08-02,0.36000000000000004
2021-09-01,0.28
2021-10-08,0.4
2021-11-01,0.36
2021-12-01,0.36
2022-01-04,0.32
2022-02-07,0.56
2022-03-01,0.52
2022-04-01,0.6
2022-05-05,0.56
2022-06-01,0.36
2022-07-01,0.36
2022-08-01,0.36
2022-09-01,0.44000000000000006
2022-10-10,0.52
2022-11-01,0.6399999999999999
2022-12-01,0.64
2023-01-03,0.56
2023-02-01,0.6
2023-03-01,0.28
2023-04-03,0.6799999999999999
2023-05-04,0.48
2023-06-01,0.64
2023-07-03,0.8400000000000001
2023-08-01,0.68
2023-09-01,0.72
2023-10-09,0.8400000000000001
2023-11-01,0.68
2023-12-01,0.6000000000000001
2024-01-02,0.64
2024-02-01,0.8400000000000001
2024-03-01,0.8
2024-04-01,0.5599999999999999
2024-05-06,0.72
2024-06-03,0.72
2024-07-01,0.4
2024-08-01,0.88
2024-09-02,0.76
2024-10-08,0.8
2024-11-01,0.52
2024-12-02,0.6400000000000001
2024-12-31,0.84
