date,momentum_60,reversal_20,volatility_20,liquidity_20
2021-01-04,,,,
2021-01-05,,,,
2021-01-06,,,,
2021-01-07,,,,
2021-01-08,,,,
2021-01-11,,,,
2021-01-12,,,,
2021-01-13,,,,
2021-01-14,,,,
2021-01-15,,,,
2021-01-18,,,,
2021-01-19,,,,
2021-01-20,,,,
2021-01-21,,,,
2021-01-22,,,,
2021-01-25,,,,
2021-01-26,,,,
2021-01-27,,,,
2021-01-28,,,,
2021-01-29,,,,0.053463889576250166
2021-02-01,,-0.14117757217291788,0.35701917190432203,0.2926032041111561
2021-02-02,,-0.24443181121660126,-0.020539250499489823,0.05496900228473133
2021-02-03,,-0.11081296491299512,-0.1121529456475081,0.06843323029804843
2021-02-04,,0.013467684811107354,-0.34571092683414534,-0.05514321485449529
2021-02-05,,-0.11544413357422798,0.25770234440404616,0.20372496360339362
2021-02-08,,0.09192774930144518,0.4627818528050608,0.22193668796669436
2021-02-09,,-0.03801755971031684,0.11360454346153763,0.22111413968654606
2021-02-10,,0.2165628724957567,-0.11274972677883391,-0.33853935971100413
2021-02-18,,0.48768219338618307,-0.41029423279340166,-0.34140080280531204
2021-02-19,,0.1167328079498329,-0.26394908873781614,-0.43088313020224295
2021-02-22,,-0.08980191091774835,-0.08476151099418192,-0.01701723030321222
2021-02-23,,0.4456598463891843,-0.4582532914659918,-0.3516267288624434
2021-02-24,,-0.10287962555325621,-0.2789618526357131,-0.07610484728398105
2021-02-25,,0.06628818372523634,-0.2499089960868424,-0.21078810555521454
2021-02-26,,0.15587219968849714,0.4554537727145103,0.24399362381536685
2021-03-01,,0.0890890651474605,-0.14390493821797484,-0.18952299643308618
2021-03-02,,-0.12022091267635394,-0.07062595124195803,0.0783397220993096
2021-03-03,,-0.4145084808534185,-0.5102288747001906,-0.5362207198372965
2021-03-04,,0.3283338812097269,-0.1799496391734623,-0.15143298665004154
2021-03-05,,-0.4640601305568236,-0.5068030137681867,-0.47522537435679474
2021-03-08,,-0.22019958216865868,-0.23447190611504717,-0.13877112309974837
2021-03-09,,0.4799567724708404,0.31922359496949787,0.3591335812226985
2021-03-10,,0.0413820481102504,0.4179989616212495,0.2538536702040373
2021-03-11,,-0.11385066102725049,-0.03757194537362662,-0.02885879857559714
2021-03-12,,-0.5639382888285166,-0.42143253618361737,-0.3363590198759594
2021-03-15,,0.19466276201693933,-0.0808843282563166,0.02451051740782233
2021-03-16,,0.5171305911631741,0.30625468420021096,0.16643611792059454
2021-03-17,,0.36373143164110733,0.327353708810182,0.22224714673195256
2021-03-18,,-0.311578284181802,-0.32044271089700643,-0.48424690947525906
2021-03-19,,-0.1994010364825413,-0.15930093806980436,-0.13871188006849824
2021-03-22,,0.015013643330874167,-0.3337381851394499,-0.15069616717993525
2021-03-23,,-0.27260305333034746,-0.3936916533908797,-0.270413016446039
2021-03-24,,0.39024721408725205,0.22875518736037564,0.0826054079054749
2021-03-25,,0.326267491611936,0.5343915930556284,0.36323341878958887
2021-03-26,,-0.13749576515294096,-0.04130472637933202,-0.08234489763274652
2021-03-29,,0.37434721598945275,0.2917107320106297,0.2996717669451965
2021-03-30,,-0.20817455127774423,-0.24550136052934948,-0.3119159024842606
2021-03-31,,0.38846893261213916,0.43292716559795313,0.3463314109266364
2021-04-01,,0.2426863114315138,0.2556151136236766,0.14603794379426502
2021-04-02,,0.13426868621358207,0.0324721309802198,-0.0787487463717585
2021-04-06,0.20367565010989136,0.021223278665145652,-0.05384583966756927,-0.22569802880217057
2021-04-07,-0.04253643020228709,-0.12718848717188608,0.13583855236734932,0.1687530958992868
2021-04-08,0.165980189072259,0.010697347767305106,-0.28285928474957633,-0.3038614460429149
2021-04-09,0.24169622741339725,-0.13576846947246154,-0.3847671138449119,-0.24699627414403258
2021-04-12,-0.27174067062643775,0.13164754953076122,0.20782335955156908,0.2724569333629016
2021-04-13,-0.24694582307883498,0.014129622522465985,0.36424018589932344,0.14915903449471687
2021-04-14,0.0536357960937433,-0.036215670893451284,0.14582878081536457,-0.04242452660889453
2021-04-15,-0.03433368308137514,0.12423665855537296,-0.2690959105459216,-0.28658802352459345
2021-04-16,-0.3114326803669576,0.049360339813915695,0.3356418859885515,0.3526274341075758
2021-04-19,0.14180024715956796,0.0011934555463239838,0.11954483573166563,0.11805117406205301
2021-04-20,0.06453863834784453,-0.10657661009858602,0.01689009851385551,0.13657356662104578
2021-04-21,-0.13789750848614268,-0.05338043188908175,0.1105685889785836,0.029399212639205325
