,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-02-01,999200.0
2021-02-02,1001402.7307498483
2021-02-03,988826.5691189904
2021-02-04,974648.8023196018
2021-02-05,972077.432036571
2021-02-08,975295.4206937186
2021-02-09,988266.5826973635
2021-02-10,996953.5055436337
2021-02-18,1018028.5987435778
2021-02-19,1034703.5955127674
2021-02-22,1044506.2806246466
2021-02-23,1038424.6578337
2021-02-24,1026448.5861772181
2021-02-25,1033971.0263158735
2021-02-26,1020786.6545693703
2021-03-01,1030103.510281811
2021-03-02,1023983.4138860172
2021-03-03,1034280.8528535041
2021-03-04,1026209.0201767966
2021-03-05,1034122.9994691357
2021-03-08,1028601.5725576348
2021-03-09,1014911.38980121
2021-03-10,1006201.380104833
2021-03-11,1021235.3938154926
2021-03-12,1034027.0151932118
2021-03-15,1028046.200952961
2021-03-16,1033461.6040825892
2021-03-17,1028443.9735099835
2021-03-18,1027728.3870956964
2021-03-19,1021653.4152099408
2021-03-22,1044040.1515713733
2021-03-23,1036449.320210215
2021-03-24,1031377.3554836966
2021-03-25,1026408.9479901593
2021-03-26,1036312.4101875973
2021-03-29,1042535.0283859741
2021-03-30,1044954.2028935452
2021-03-31,1049748.6763133386
2021-04-01,1043445.8645999087
2021-04-02,1052128.1462078895
2021-04-06,1053384.449552489
2021-04-07,1057758.5775452328
2021-04-08,1054060.5486386402
2021-04-09,1048867.2625087008
2021-04-12,1040535.9863576673
2021-04-13,1027619.5135755074
2021-04-14,1032551.6286095054
2021-04-15,1028300.3643262187
2021-04-16,1039288.5917924851
2021-04-19,1055427.556994758
2021-04-20,1045727.9377668024
2021-04-21,1041112.1741541519
2021-04-22,1040714.304585936
2021-04-23,1038655.2948849325
2021-04-26,1032736.4607373603
2021-04-27,1025898.8850547477
2021-04-28,1027551.1141968847
2021-04-29,1038692.3531376676
