,turnover
2021-02-01,0.5
2021-03-01,0.5
2021-04-01,0.625
2021-05-06,0.525
2021-06-01,0.4
2021-07-01,0.3500000000000001
2021-08-02,0.4
2021-09-01,0.30000000000000004
2021-10-08,0.35
2021-11-01,0.375
2021-12-01,0.37500000000000006
2022-01-04,0.35000000000000003
2022-02-07,0.575
2022-03-01,0.425
2022-04-01,0.4
2022-05-05,0.42500000000000004
2022-06-01,0.32500000000000007
2022-07-01,0.35
2022-08-01,0.425
2022-09-01,0.5
2022-10-10,0.5
2022-11-01,0.5
2022-12-01,0.5
2023-01-03,0.47500000000000003
2023-02-01,0.525
2023-03-01,0.375
2023-04-03,0.42500000000000004
2023-05-04,0.37500000000000006
2023-06-01,0.65
2023-07-03,0.675
2023-08-01,0.675
2023-09-01,0.7000000000000001
2023-10-09,0.625
2023-11-01,0.5
2023-12-01,0.4750000000000001
2024-01-02,0.55
2024-02-01,0.675
2024-03-01,0.6500000000000001
2024-04-01,0.4
2024-05-06,0.575
2024-06-03,0.55
2024-07-01,0.5
2024-08-01,0.625
2024-09-02,0.6000000000000001
2024-10-08,0.7
2024-11-01,0.32500000000000007
2024-12-02,0.525
2024-12-31,0.675
