,oos_daily_return
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,1.0
2023-01-16,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,0.9992
2023-02-02,0.9978720543780774
2023-02-03,0.9949009699940522
2023-02-06,0.9946415104947853
2023-02-07,0.9992259791547665
2023-02-08,0.9939871591661112
2023-02-09,1.0109352476576556
2023-02-10,1.0183157760725685
2023-02-13,1.0287475703717204
2023-02-14,1.0252799259116283
2023-02-15,1.0256867910398093
2023-02-16,1.0136872574031415
2023-02-17,1.0072785451738744
2023-02-20,1.0274447421776693
2023-02-21,1.0330181557569735
2023-02-22,1.0318574721940164
2023-02-23,1.0299752650222707
2023-02-24,1.0307786275442343
2023-02-27,1.0253626114843397
2023-02-28,1.0330863027740094
2023-03-01,1.0463108174070652
2023-03-02,1.0522210206877127
2023-03-03,1.0648864320768283
2023-03-06,1.062297292763622
2023-03-07,1.0610981686118999
2023-03-08,1.0602470585052584
2023-03-09,1.05924223498158
2023-03-10,1.047998970003339
2023-03-13,1.0551043897052736
2023-03-14,1.0507080925834995
2023-03-15,1.0596136732790258
2023-03-16,1.0551004648862452
2023-03-17,1.0598423800713022
2023-03-20,1.0638849992773327
2023-03-21,1.0642432016209535
2023-03-22,1.0698704310656233
2023-03-23,1.0712068541045108
2023-03-24,1.063203234575773
2023-03-27,1.0536758001672848
2023-03-28,1.0516876403976023
2023-03-29,1.0452452984113165
2023-03-30,1.051193466927953
2023-03-31,1.0490305019815123
2023-04-03,1.0519205645979788
2023-04-04,1.0586642581880634
2023-04-06,1.053552514795644
2023-04-07,1.0540645162452411
2023-04-10,1.0551139215098035
2023-04-11,1.055356042982831
2023-04-12,1.0587450430954286
2023-04-13,1.0609000807296989
2023-04-14,1.0658427686124248
2023-04-17,1.0843125189249363
2023-04-18,1.087080307454851
2023-04-19,1.0888382231613325
2023-04-20,1.084509737036847
2023-04-21,1.0695749558260568
2023-04-24,1.0651825083445525
2023-04-25,1.0655252682771972
2023-04-26,1.0677229718764438
2023-04-27,1.080391715497314
2023-04-28,1.084794646195977
2023-05-04,1.1063796790364449
2023-05-05,1.1009432383992024
2023-05-08,1.1221987091230736
2023-05-09,1.1078176764252332
2023-05-10,1.1039581009416923
2023-05-11,1.104128825132428
2023-05-12,1.097683902666828
2023-05-15,1.1076457979324947
2023-05-16,1.1043773463282383
2023-05-17,1.1020203090772842
2023-05-18,1.0980029233844921
2023-05-19,1.0963640914205688
2023-05-22,1.1026393024759813
2023-05-23,1.096392996383283
