,holding_count,top1_weight,top5_weight,herfindahl
2021-01-11,0,0.0,0.0,0.0
2021-01-18,0,0.0,0.0,0.0
2021-01-25,0,0.0,0.0,0.0
2021-02-01,40,0.025,0.125,0.02500000000000002
2021-02-08,40,0.025,0.125,0.02500000000000002
2021-02-18,40,0.025,0.125,0.02500000000000002
2021-02-22,40,0.025,0.125,0.02500000000000002
2021-03-01,40,0.025,0.125,0.02500000000000002
2021-03-08,40,0.025,0.125,0.02500000000000002
2021-03-15,40,0.025,0.125,0.02500000000000002
2021-03-22,40,0.025,0.125,0.02500000000000002
2021-03-29,40,0.025,0.125,0.02500000000000002
2021-04-06,40,0.025,0.125,0.02500000000000002
2021-04-12,40,0.025,0.125,0.02500000000000002
2021-04-19,40,0.025,0.125,0.02500000000000002
2021-04-26,40,0.025,0.125,0.02500000000000002
2021-05-06,40,0.025,0.125,0.02500000000000002
2021-05-10,40,0.025,0.125,0.02500000000000002
2021-05-17,40,0.025,0.125,0.02500000000000002
2021-05-24,40,0.025,0.125,0.02500000000000002
2021-05-31,40,0.025,0.125,0.02500000000000002
2021-06-07,40,0.025,0.125,0.02500000000000002
2021-06-15,40,0.025,0.125,0.02500000000000002
2021-06-21,40,0.025,0.125,0.02500000000000002
2021-06-28,40,0.025,0.125,0.02500000000000002
2021-07-05,40,0.025,0.125,0.02500000000000002
2021-07-12,40,0.025,0.125,0.02500000000000002
2021-07-19,40,0.025,0.125,0.02500000000000002
2021-07-26,40,0.025,0.125,0.02500000000000002
2021-08-02,40,0.025,0.125,0.02500000000000002
2021-08-09,40,0.025,0.125,0.02500000000000002
2021-08-16,40,0.025,0.125,0.02500000000000002
2021-08-23,40,0.025,0.125,0.02500000000000002
2021-08-30,40,0.025,0.125,0.02500000000000002
2021-09-06,40,0.025,0.125,0.02500000000000002
2021-09-13,40,0.025,0.125,0.02500000000000002
2021-09-22,40,0.025,0.125,0.02500000000000002
2021-09-27,40,0.025,0.125,0.02500000000000002
2021-10-08,40,0.025,0.125,0.02500000000000002
2021-10-11,40,0.025,0.125,0.02500000000000002
2021-10-18,40,0.025,0.125,0.02500000000000002
2021-10-25,40,0.025,0.125,0.02500000000000002
2021-11-01,40,0.025,0.125,0.02500000000000002
2021-11-08,40,0.025,0.125,0.02500000000000002
2021-11-15,40,0.025,0.125,0.02500000000000002
2021-11-22,40,0.025,0.125,0.02500000000000002
2021-11-29,40,0.025,0.125,0.02500000000000002
2021-12-06,40,0.025,0.125,0.02500000000000002
2021-12-13,40,0.025,0.125,0.02500000000000002
2021-12-20,40,0.025,0.125,0.02500000000000002
2021-12-27,40,0.025,0.125,0.02500000000000002
2022-01-04,40,0.025,0.125,0.02500000000000002
2022-01-10,40,0.025,0.125,0.02500000000000002
2022-01-17,40,0.025,0.125,0.02500000000000002
2022-01-24,40,0.025,0.125,0.02500000000000002
2022-02-07,40,0.025,0.125,0.02500000000000002
2022-02-14,40,0.025,0.125,0.02500000000000002
2022-02-21,40,0.025,0.125,0.02500000000000002
2022-02-28,40,0.025,0.125,0.02500000000000002
2022-03-07,40,0.025,0.125,0.02500000000000002
2022-03-14,40,0.025,0.125,0.02500000000000002
2022-03-21,40,0.025,0.125,0.02500000000000002
2022-03-28,40,0.025,0.125,0.02500000000000002
2022-04-06,40,0.025,0.125,0.02500000000000002
2022-04-11,40,0.025,0.125,0.02500000000000002
2022-04-18,40,0.025,0.125,0.02500000000000002
