,equity
2021-01-04,1000000.0
2021-01-05,1000000.0
2021-01-06,1000000.0
2021-01-07,1000000.0
2021-01-08,1000000.0
2021-01-11,1000000.0
2021-01-12,1000000.0
2021-01-13,1000000.0
2021-01-14,1000000.0
2021-01-15,1000000.0
2021-01-18,1000000.0
2021-01-19,1000000.0
2021-01-20,1000000.0
2021-01-21,1000000.0
2021-01-22,1000000.0
2021-01-25,1000000.0
2021-01-26,1000000.0
2021-01-27,1000000.0
2021-01-28,1000000.0
2021-01-29,1000000.0
2021-02-01,999200.0
2021-02-02,1001402.7307498483
2021-02-03,988826.5691189904
2021-02-04,974648.8023196018
2021-02-05,972077.432036571
2021-02-08,974217.719253852
2021-02-09,987009.5108152565
2021-02-10,993330.2237859897
2021-02-18,1015428.611022146
2021-02-19,1040342.3841310771
2021-02-22,1054314.0306886844
2021-02-23,1049105.3950661991
2021-02-24,1044354.006797662
2021-02-25,1057784.4350146786
2021-02-26,1046129.7487391677
2021-03-01,1047587.1703567359
2021-03-02,1041363.1992687953
2021-03-03,1051835.413800828
2021-03-04,1043626.580155487
2021-03-05,1051674.8812149167
2021-03-08,1045651.7773628843
2021-03-09,1030634.9933991056
2021-03-10,1020231.2972859461
2021-03-11,1035250.3585279587
2021-03-12,1049747.142040318
2021-03-15,1043725.3707459621
2021-03-16,1048528.1902064091
2021-03-17,1048249.8042402442
2021-03-18,1046702.6583786623
2021-03-19,1039196.4565695272
2021-03-22,1051399.697515765
2021-03-23,1047791.8447130456
2021-03-24,1040721.1783772436
2021-03-25,1041097.2741783181
2021-03-26,1053809.9246240153
2021-03-29,1055297.2298969612
2021-03-30,1061369.420794327
2021-03-31,1065681.7597013668
2021-04-01,1066667.2465714414
2021-04-02,1067767.2462132676
2021-04-06,1071655.808932057
2021-04-07,1078388.2915038276
2021-04-08,1072302.3454298328
2021-04-09,1066922.5247057877
2021-04-12,1058741.7528579715
2021-04-13,1047703.7897197851
2021-04-14,1053344.1902109976
2021-04-15,1047617.4949055638
2021-04-16,1060632.814193176
2021-04-19,1073420.1958695732
2021-04-20,1068348.866583444
2021-04-21,1065411.3855752933
2021-04-22,1060412.003070216
2021-04-23,1056051.4166725103
2021-04-26,1050793.4382034112
2021-04-27,1043061.0194019787
2021-04-28,1046572.8408739866
2021-04-29,1057691.4740392233
2021-04-30,1046126.6289018659
