,weighted_log_size
2021-01-11,0.0
2021-01-18,0.0
2021-01-25,0.0
2021-02-01,23.710319486627867
2021-02-08,24.160863740343984
2021-02-18,24.231258896846477
2021-02-22,24.641117195555633
2021-03-01,24.15212647893032
2021-03-08,24.059012668582035
2021-03-15,24.241794618920334
2021-03-22,23.794064345225355
2021-03-29,23.91796042253604
2021-04-06,24.052594056699945
2021-04-12,24.302072920261523
2021-04-19,24.409249918662162
2021-04-26,24.331905284809736
2021-05-06,24.401691497416486
2021-05-10,24.26923978204985
2021-05-17,24.550253796060204
2021-05-24,24.56599964497854
2021-05-31,24.218619231614202
2021-06-07,24.316307004326553
2021-06-15,24.250439312516068
2021-06-21,24.279543927867206
2021-06-28,24.415248772070854
2021-07-05,24.416649859196912
2021-07-12,24.567233871105465
2021-07-19,24.60561095881502
2021-07-26,24.424886661425425
2021-08-02,24.29913142613777
2021-08-09,24.382570491935645
2021-08-16,24.361395347924102
2021-08-23,24.402525941679848
2021-08-30,24.337103790016922
2021-09-06,24.381052049045323
2021-09-13,24.500759609552386
2021-09-22,24.357981194805983
2021-09-27,24.2062099820251
2021-10-08,24.342998896201955
2021-10-11,24.376996936160403
2021-10-18,24.244747510291347
2021-10-25,24.108977078711508
2021-11-01,24.31006982928166
2021-11-08,24.34089998842294
2021-11-15,24.49106126123802
2021-11-22,24.472365560839513
2021-11-29,24.58981604453014
2021-12-06,24.711710747006762
2021-12-13,24.597925101628803
2021-12-20,24.566239674387816
2021-12-27,24.5592419403235
2022-01-04,24.513301201251195
2022-01-10,24.372594036449403
2022-01-17,24.263410867487444
2022-01-24,24.306571044062636
2022-02-07,24.1225790016105
2022-02-14,24.065988092280904
2022-02-21,24.115385203135897
2022-02-28,24.33329956456938
2022-03-07,24.30109481570013
2022-03-14,24.375407585519714
2022-03-21,24.257032785017078
2022-03-28,24.015448357666607
2022-04-06,24.017173313516622
2022-04-11,23.9835972282344
2022-04-18,23.936110449466163
2022-04-25,23.923473804753662
2022-05-05,24.354961152355195
2022-05-09,24.300117774912533
2022-05-16,24.59066926300573
2022-05-23,24.59575787377394
2022-05-30,24.78407071652302
2022-06-06,24.571662015039216
2022-06-13,24.5547193378461
2022-06-20,24.471417587155205
2022-06-27,24.43807796398315
2022-07-04,24.432029972755586
2022-07-11,24.480301075454904
2022-07-18,24.517977703485666
2022-07-25,24.36241801652951
2022-08-01,24.396736398634612
2022-08-08,24.46055849914046
2022-08-15,24.540913048657416
2022-08-22,24.485840599686675
2022-08-29,24.380952980468937
2022-09-05,24.315453257126133
2022-09-13,24.21389981298522
2022-09-19,23.974593063531053
2022-09-26,23.85498920090405
2022-10-10,24.072056081507416
2022-10-17,24.240314701774903
2022-10-24,24.338958938563515
2022-10-31,24.513395288342785
2022-11-07,24.610428556730334
2022-11-14,24.649409092033437
2022-11-21,24.552275622125563
2022-11-28,24.409718944677422
2022-12-05,24.366912843212884
2022-12-12,24.238620330817895
2022-12-19,24.136880859388185
2022-12-26,24.210617013233616
2023-01-03,24.291813980609074
2023-01-09,24.571692574843794
2023-01-16,24.580531483776163
2023-01-30,24.865761876705704
