,turnover
2021-01-11,0.0
2021-01-18,0.0
2021-01-25,0.0
2021-02-01,0.5
2021-02-08,0.42500000000000004
2021-02-18,0.2
2021-02-22,0.2
2021-03-01,0.25
2021-03-08,0.15
2021-03-15,0.25
2021-03-22,0.275
2021-03-29,0.325
2021-04-06,0.25
2021-04-12,0.25
2021-04-19,0.175
2021-04-26,0.25
2021-05-06,0.22500000000000003
2021-05-10,0.125
2021-05-17,0.3
2021-05-24,0.15000000000000002
2021-05-31,0.275
2021-06-07,0.2
2021-06-15,0.125
2021-06-21,0.15000000000000002
2021-06-28,0.175
2021-07-05,0.15000000000000002
2021-07-12,0.17500000000000002
2021-07-19,0.15000000000000002
2021-07-26,0.125
2021-08-02,0.1
2021-08-09,0.125
2021-08-16,0.15
2021-08-23,0.1
2021-08-30,0.17500000000000002
2021-09-06,0.125
2021-09-13,0.125
2021-09-22,0.17500000000000002
2021-09-27,0.07500000000000001
2021-10-08,0.15000000000000002
2021-10-11,0.17500000000000002
2021-10-18,0.2
2021-10-25,0.125
2021-11-01,0.125
2021-11-08,0.17500000000000002
2021-11-15,0.125
2021-11-22,0.15000000000000002
2021-11-29,0.225
2021-12-06,0.17500000000000002
2021-12-13,0.15000000000000002
2021-12-20,0.1
2021-12-27,0.1
2022-01-04,0.22500000000000003
2022-01-10,0.25
2022-01-17,0.225
2022-01-24,0.15
2022-02-07,0.325
2022-02-14,0.275
2022-02-21,0.175
2022-02-28,0.25
2022-03-07,0.17500000000000002
2022-03-14,0.275
2022-03-21,0.2
2022-03-28,0.25
2022-04-06,0.22500000000000003
2022-04-11,0.125
2022-04-18,0.30000000000000004
2022-04-25,0.25
2022-05-05,0.275
2022-05-09,0.15000000000000002
2022-05-16,0.20000000000000007
2022-05-23,0.10000000000000009
2022-05-30,0.125
2022-06-06,0.175
2022-06-13,0.15000000000000002
2022-06-20,0.2
2022-06-27,0.125
2022-07-04,0.125
2022-07-11,0.175
2022-07-18,0.25
2022-07-25,0.175
2022-08-01,0.2
2022-08-08,0.2
2022-08-15,0.30000000000000004
2022-08-22,0.25
2022-08-29,0.15000000000000002
2022-09-05,0.22500000000000003
2022-09-13,0.25
2022-09-19,0.175
2022-09-26,0.25
2022-10-10,0.35000000000000003
2022-10-17,0.35000000000000003
2022-10-24,0.30000000000000004
2022-10-31,0.22500000000000003
2022-11-07,0.15000000000000002
2022-11-14,0.125
2022-11-21,0.1
2022-11-28,0.17500000000000002
2022-12-05,0.2
2022-12-12,0.225
2022-12-19,0.275
2022-12-26,0.275
2023-01-03,0.25
2023-01-09,0.325
2023-01-16,0.175
2023-01-30,0.25
2023-02-06,0.225
2023-02-13,0.125
2023-02-20,0.22500000000000003
2023-02-27,0.125
2023-03-06,0.2
2023-03-13,0.225
2023-03-20,0.225
2023-03-27,0.30000000000000004
2023-04-03,0.1
2023-04-10,0.07500000000000001
2023-04-17,0.075
2023-04-24,0.17500000000000002
2023-05-04,0.225
2023-05-08,0.25
2023-05-15,0.42500000000000004
2023-05-22,0.275
2023-05-29,0.2500000000000001
2023-06-05,0.42500000000000004
2023-06-12,0.32499999999999996
2023-06-19,0.325
2023-06-26,0.05
2023-07-03,0.25
2023-07-10,0.275
2023-07-17,0.325
2023-07-24,0.275
2023-07-31,0.4
2023-08-07,0.22500000000000003
2023-08-14,0.25
2023-08-21,0.325
2023-08-28,0.42500000000000004
2023-09-04,0.42500000000000004
2023-09-11,0.35
2023-09-18,0.275
2023-09-25,0.2
2023-10-09,0.25
2023-10-16,0.35
2023-10-23,0.30000000000000004
2023-10-30,0.45000000000000007
2023-11-06,0.25
2023-11-13,0.375
2023-11-20,0.275
2023-11-27,0.25
2023-12-04,0.22500000000000003
2023-12-11,0.32500000000000007
2023-12-18,0.30000000000000004
2023-12-25,0.25
2024-01-02,0.30000000000000004
2024-01-08,0.17500000000000002
2024-01-15,0.22500000000000003
2024-01-22,0.25
2024-01-29,0.47500000000000003
2024-02-05,0.30000000000000004
2024-02-19,0.45000000000000007
2024-02-26,0.275
2024-03-04,0.35000000000000003
2024-03-11,0.175
2024-03-18,0.275
2024-03-25,0.25
2024-04-01,0.275
2024-04-08,0.275
2024-04-15,0.25
2024-04-22,0.275
2024-04-29,0.35
2024-05-06,0.25
2024-05-13,0.275
2024-05-20,0.2
2024-05-27,0.275
2024-06-03,0.35000000000000003
2024-06-11,0.275
2024-06-17,0.25
2024-06-24,0.22500000000000003
2024-07-01,0.275
2024-07-08,0.325
2024-07-15,0.30000000000000004
2024-07-22,0.275
2024-07-29,0.3
2024-08-05,0.35
2024-08-12,0.375
2024-08-19,0.30000000000000004
2024-08-26,0.275
2024-09-02,0.47500000000000003
2024-09-09,0.275
2024-09-18,0.1500000000000001
2024-09-23,0.1500000000000001
2024-09-30,0.5750000000000001
2024-10-08,0.325
2024-10-14,0.17500000000000002
2024-10-21,0.125
2024-10-28,0.125
2024-11-04,0.275
2024-11-11,0.25
2024-11-18,0.30000000000000004
2024-11-25,0.375
2024-12-02,0.35000000000000003
2024-12-09,0.4
2024-12-16,0.35
2024-12-23,0.35
2024-12-30,0.32499999999999996
2024-12-31,0.22500000000000003
