date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down
2021-01-04,17.48,19.33,17.45,18.99,7644107.0,175532353.0,0.006070817353408326,1259156149.0,000708.SZ,1.0,23911375269.51,False,False,False
2021-01-05,18.99,19.52,18.51,19.33,6043372.0,140587944.0,0.004799541347432994,1259156149.0,000708.SZ,1.0,24339488360.17,False,False,False
2021-01-06,19.56,19.87,19.15,19.69,5321649.0,127169468.0,0.00422636144391334,1259156149.0,000708.SZ,1.0,24792784573.81,False,False,False
2021-01-07,19.69,21.59,19.44,21.33,9637081.0,242715877.0,0.007653602778061801,1259156149.0,000708.SZ,1.0,26857800658.17,False,False,False
2021-01-08,20.83,21.56,20.3,21.54,7182117.0,183500576.0,0.00570391289889178,1259156149.0,000708.SZ,1.0,27122223449.46,False,False,False
2021-01-11,21.55,21.63,20.23,21.26,8546485.0,218608921.0,0.006787470328273003,1259156149.0,000708.SZ,1.0,26769659727.74,False,False,False
2021-01-12,21.13,21.13,20.32,21.1,6502189.0,164770025.0,0.005163925860318377,1259156149.0,000708.SZ,1.0,26568194743.9,False,False,False
2021-01-13,21.05,21.06,20.22,20.6,5133323.0,128981992.0,0.004076796197260202,1259156149.0,000708.SZ,1.0,25938616669.4,False,False,False
2021-01-14,20.58,22.59,20.36,22.47,8870389.0,233882357.0,0.007044709273782056,1259156149.0,000708.SZ,1.0,28293238668.03,False,False,False
2021-01-15,22.13,22.22,20.77,22.05,8188639.0,214233089.0,0.006503275234372858,1259156149.0,000708.SZ,1.0,27764393085.45,False,False,False
2021-01-18,21.35,21.75,20.8,21.32,5404102.0,140330719.0,0.004291844188103155,1259156149.0,000708.SZ,1.0,26845209096.68,False,False,False
2021-01-19,21.31,22.1,21.28,22.01,4870455.0,129541703.0,0.0038680309855676207,1259156149.0,000708.SZ,1.0,27714026839.49,False,False,False
2021-01-20,22.02,23.08,21.76,22.47,7078430.0,196022697.0,0.005621566479758342,1259156149.0,000708.SZ,1.0,28293238668.03,False,False,False
2021-01-21,22.91,22.98,21.76,22.27,6140540.0,167740470.0,0.004876710489701147,1259156149.0,000708.SZ,1.0,28041407438.23,False,False,False
2021-01-22,22.78,22.84,22.1,22.32,5484879.0,150249376.0,0.004355995882127881,1259156149.0,000708.SZ,1.0,28104365245.68,False,False,False
2021-01-25,22.38,22.72,22.04,22.32,4545109.0,124433399.0,0.003609646828639678,1259156149.0,000708.SZ,1.0,28104365245.68,False,False,False
2021-01-26,22.25,22.66,21.77,22.61,4802998.0,130885009.0,0.0038144578047881175,1259156149.0,000708.SZ,1.0,28469520528.89,False,False,False
2021-01-27,22.01,23.74,22.01,23.29,7305633.0,204956034.0,0.005802007166308966,1259156149.0,000708.SZ,1.0,29325746710.21,False,False,False
2021-01-28,22.69,23.07,21.86,22.75,6542357.0,179863596.0,0.005195826590050667,1259156149.0,000708.SZ,1.0,28645802389.75,False,False,False
2021-01-29,22.42,23.4,22.42,22.84,5423269.0,152381394.0,0.004307066287455346,1259156149.0,000708.SZ,1.0,28759126443.16,False,False,False
2021-02-01,23.0,23.31,22.18,23.27,4042026.0,113501952.0,0.0032101070254154794,1259156149.0,000708.SZ,1.0,29300563587.23,False,False,False
2021-02-02,23.16,25.17,23.16,25.01,7532540.0,223924479.0,0.0059822127747874735,1259156149.0,000708.SZ,1.0,31491495286.49,False,False,False
2021-02-03,24.56,27.51,24.44,27.49,9150322.0,293023004.0,0.0072670272128417335,1259156149.0,000708.SZ,1.0,34614202536.009995,False,True,False
2021-02-04,27.35,27.8,26.23,26.94,6033920.0,198612358.0,0.004792034732778802,1259156149.0,000708.SZ,1.0,33921666654.06,False,False,False
2021-02-05,25.32,27.32,24.24,27.09,12337337.0,376599660.0,0.009798099314209838,1259156149.0,000708.SZ,1.0,34110540076.41,False,False,False
2021-02-08,25.37,26.05,24.38,24.38,11514481.0,348472210.0,0.009144601334111421,1259156149.0,000708.SZ,1.0,30698226912.62,False,False,True
2021-02-09,23.7,25.77,23.16,24.83,10821586.0,325126619.0,0.008594316128777448,1259156149.0,000708.SZ,1.0,31264847179.67,False,False,False
2021-02-10,24.85,27.31,24.79,27.31,9017037.0,291464722.0,0.007161174574862041,1259156149.0,000708.SZ,1.0,34387554429.189995,False,True,False
2021-02-18,29.06,29.47,27.4,28.99,7632800.0,267472284.0,0.006061837529890028,1259156149.0,000708.SZ,1.0,36502936759.509995,False,False,False
2021-02-19,28.65,28.89,26.27,26.9,11239376.0,373093842.0,0.0089261177090118,1259156149.0,000708.SZ,1.0,33871300408.1,False,False,False
2021-02-22,26.19,29.47,26.1,28.04,12778453.0,425341401.0,0.010148425999546145,1259156149.0,000708.SZ,1.0,35306738417.96,False,False,False
2021-02-23,27.34,27.34,25.37,25.61,10246870.0,325174038.0,0.008137886637918488,1259156149.0,000708.SZ,1.0,32246988975.89,False,False,False
2021-02-24,25.41,26.15,23.98,25.79,10427878.0,321189568.0,0.008281640055748161,1259156149.0,000708.SZ,1.0,32473637082.71,False,False,False
2021-02-25,25.54,25.74,23.8,23.81,9559568.0,283594894.0,0.007592043296291761,1259156149.0,000708.SZ,1.0,29980507907.69,False,False,False
2021-02-26,23.25,23.63,22.25,23.02,8910982.0,250091212.0,0.007076947531151675,1259156149.0,000708.SZ,1.0,28985774549.98,False,False,False
2021-03-01,23.06,23.74,22.72,23.5,7128396.0,202215581.0,0.005661248611350743,1259156149.0,000708.SZ,1.0,29590169501.5,False,False,False
2021-03-02,23.85,24.14,22.84,23.21,5297770.0,151613959.0,0.004207397155791518,1259156149.0,000708.SZ,1.0,29225014218.29,False,False,False
2021-03-03,23.11,25.51,23.11,25.01,10900077.0,328135491.0,0.008656652321204683,1259156149.0,000708.SZ,1.0,31491495286.49,False,False,False
2021-03-04,25.37,26.71,24.15,25.5,13731974.0,427000134.0,0.010905695859012956,1259156149.0,000708.SZ,1.0,32108481799.5,False,False,False
2021-03-05,25.02,25.02,23.33,24.56,8224219.0,244160237.0,0.006531532253987349,1259156149.0,000708.SZ,1.0,30924875019.44,False,False,False
2021-03-08,24.12,25.04,22.93,23.78,10889369.0,314966493.0,0.00864814821310935,1259156149.0,000708.SZ,1.0,29942733223.22,False,False,False
2021-03-09,23.41,23.73,21.63,21.7,15225626.0,422364003.0,0.012091928401486924,1259156149.0,000708.SZ,1.0,27323688433.3,False,False,False
2021-03-10,21.69,22.72,21.43,22.25,10633859.0,289938934.0,0.008445226597547276,1259156149.0,000708.SZ,1.0,28016224315.25,False,False,False
2021-03-11,22.58,23.15,21.84,22.58,8510744.0,235053331.0,0.006759085445247665,1259156149.0,000708.SZ,1.0,28431745844.42,False,False,False
2021-03-12,23.01,23.2,22.27,22.62,6247030.0,172777801.0,0.004961283002875603,1259156149.0,000708.SZ,1.0,28482112090.38,False,False,False
2021-03-15,22.66,23.02,21.83,22.12,6248934.0,170240379.0,0.004962795126690836,1259156149.0,000708.SZ,1.0,27852534015.88,False,False,False
2021-03-16,22.1,22.4,21.45,22.18,8162097.0,219468000.0,0.006482196037784667,1259156149.0,000708.SZ,1.0,27928083384.82,False,False,False
2021-03-17,22.22,22.5,21.61,22.27,5928902.0,160390662.0,0.004708631256503518,1259156149.0,000708.SZ,1.0,28041407438.23,False,False,False
2021-03-18,22.21,23.21,22.21,22.6,6428125.0,177918393.0,0.005105105514598095,1259156149.0,000708.SZ,1.0,28456928967.4,False,False,False
