date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2021-01-04,24.08,24.08,24.08,24.08,7487006.0,183281907.0,0.005030592802974971,1488294977.0,002625.SZ,1.0,35838143046.159996,False,False,False,True,True
2021-01-05,26.49,26.49,23.7,24.38,132686271.0,3426812285.0,0.08915320756336867,1488294977.0,002625.SZ,1.0,36284631539.26,False,False,False,True,True
2021-01-06,23.92,26.82,23.92,26.82,109555073.0,2949132147.0,0.07361112863582553,1488294977.0,002625.SZ,1.0,39916071283.14,False,True,False,False,True
2021-01-07,27.43,27.74,25.83,26.76,121535491.0,3277730748.0,0.08166088905640377,1488294977.0,002625.SZ,1.0,39826773584.520004,False,False,False,True,True
2021-01-08,26.18,28.53,24.6,26.93,92022437.0,2477075546.0,0.06183077845595658,1488294977.0,002625.SZ,1.0,40079783730.61,False,False,False,True,True
2021-01-11,27.55,29.25,25.89,26.41,77213453.0,2167530292.0,0.05188047678266135,1488294977.0,002625.SZ,1.0,39305870342.57,False,False,False,True,True
2021-01-12,25.38,27.44,25.18,26.54,58719178.0,1578358054.0,0.0394539919219253,1488294977.0,002625.SZ,1.0,39499348689.58,False,False,False,True,True
2021-01-13,26.13,29.02,26.04,27.74,81202324.0,2289363986.0,0.05456063835119696,1488294977.0,002625.SZ,1.0,41285302661.979996,False,False,False,True,True
2021-01-14,27.47,28.28,25.97,26.03,65479327.0,1796002503.0,0.04399620237379864,1488294977.0,002625.SZ,1.0,38740318251.310005,False,False,False,True,True
2021-01-15,25.58,27.3,25.58,27.16,50176359.0,1356747300.0,0.033713988003333833,1488294977.0,002625.SZ,1.0,40422091575.32,False,False,False,True,True
2021-01-18,27.64,27.75,25.82,26.28,58423163.0,1569258074.0,0.03925509653856744,1488294977.0,002625.SZ,1.0,39112391995.560005,False,False,False,True,True
2021-01-19,25.67,26.12,24.05,24.2,66731330.0,1684577368.0,0.04483743547566915,1488294977.0,002625.SZ,1.0,36016738443.4,False,False,False,True,True
2021-01-20,24.49,24.91,24.36,24.7,31047891.0,778465707.0,0.020861382642427612,1488294977.0,002625.SZ,1.0,36760885931.9,False,False,False,True,True
2021-01-21,24.31,25.01,24.12,24.51,32792726.0,818414152.0,0.02203375440136287,1488294977.0,002625.SZ,1.0,36478109886.270004,False,False,False,True,True
2021-01-22,24.3,24.39,23.22,23.79,43563685.0,1051154797.0,0.029270867451163883,1488294977.0,002625.SZ,1.0,35406537502.83,False,False,False,True,True
2021-01-25,24.01,25.01,23.61,23.91,41554329.0,1026881689.0,0.02792076143652805,1488294977.0,002625.SZ,1.0,35585132900.07,False,False,False,True,True
